time_s,CF955_flow_ml_min,F50_flow_ml_min,F100_flow_ml_min,F200_flow_ml_min,F350_flow_ml_min,F500_flow_ml_min,F1000_flow_ml_min,F5000_flow_ml_min,F12500_flow_ml_min
477,-0.009,-0.017,0.028,0.009,0.059,0.052,0.063,,
477.5,-0.009,-0.02,0.027,0.008,0.057,0.058,0.058,,
478,-0.009,-0.012,0.03,0.008,0.053,0.06,0.052,,
478.5,-0.008,-0.017,0.028,0.003,0.052,0.063,0.048,,
479,-0.009,-0.028,0.024,0.004,0.051,0.063,0.046,,
479.5,-0.009,-0.033,0.028,0.008,0.049,0.053,0.041,,
480,-0.01,-0.026,0.024,0.01,0.049,0.045,0.041,,
480.5,-0.012,-0.023,0.028,0.014,0.059,0.043,0.044,,
481,-0.012,-0.02,0.024,0.013,0.068,0.043,0.047,,
481.5,-0.011,-0.01,0.024,0.012,0.068,0.039,0.046,,
482,-0.01,-0.006,0.025,0.011,0.066,0.041,0.042,,
482.5,-0.009,-0.008,0.02,0.008,0.054,0.044,0.033,,
483,-0.008,-0.017,0.021,0.006,0.055,0.043,0.03,,
483.5,-0.009,-0.017,0.019,0.003,0.053,0.044,0.03,,
484,-0.008,-0.011,0.019,-0.001,0.049,0.042,0.029,,
484.5,-0.007,-0.01,0.015,-0.003,0.047,0.034,0.027,,
485,-0.008,0.007,0.022,0,0.052,0.031,0.029,,
485.5,-0.008,0.011,0.026,0.003,0.059,0.031,0.03,,
486,-0.01,0.007,0.026,0.002,0.065,0.029,0.03,,
486.5,-0.012,0.004,0.03,0.003,0.064,0.027,0.03,,
487,-0.011,-0.005,0.029,0.001,0.058,0.029,0.027,,
487.5,-0.009,-0.007,0.033,-0.004,0.047,0.031,0.024,,
488,-0.008,-0.005,0.031,-0.009,0.045,0.031,0.022,,
488.5,-0.009,0.003,0.027,-0.013,0.046,0.031,0.019,,
489,-0.009,0.011,0.028,-0.022,0.045,0.028,0.012,,
489.5,-0.009,0.015,0.026,-0.038,0.04,0.024,0.004,,
490,-0.012,0.022,0.027,-0.051,0.045,0.023,-0.01,,
490.5,-0.012,0.023,0.025,-0.059,0.047,0.022,-0.025,,
491,-0.012,0.022,0.022,-0.057,0.045,0.018,-0.046,,
491.5,-0.011,0.022,0.024,-0.044,0.042,0.019,-0.062,,
492,-0.009,0.021,0.021,-0.036,0.04,0.02,-0.062,,
492.5,-0.008,0.021,0.023,-0.035,0.031,0.018,-0.049,,
493,-0.007,0.018,0.021,-0.035,0.028,0.005,-0.034,,
493.5,-0.007,0.015,0.018,-0.029,0.029,-0.027,-0.03,,
494,-0.007,0.014,0.017,-0.022,0.026,-0.06,-0.035,,
494.5,-0.007,0.016,0.018,-0.018,0.023,-0.058,-0.032,,
495,-0.007,0.02,0.027,-0.017,0.031,-0.042,-0.022,,
495.5,-0.008,0.018,0.027,-0.018,0.034,-0.032,-0.017,,
496,-0.011,0.019,0.03,-0.019,0.032,-0.041,-0.028,,
496.5,-0.011,0.016,0.028,-0.021,0.032,-0.045,-0.034,,
497,-0.009,0.014,0.026,-0.016,0.023,-0.044,-0.028,,
497.5,-0.007,0.011,0.03,-0.018,0.021,-0.043,-0.017,,
498,-0.007,0.015,0.029,-0.026,0.023,-0.06,-0.009,,
498.5,-0.008,0.024,0.033,-0.03,0.022,-0.077,-0.005,,
499,-0.009,0.021,0.029,-0.03,0.017,-0.052,0,,
499.5,-0.01,0.025,0.027,-0.028,0.014,-0.029,0.012,,
500,-0.011,0.026,0.026,-0.028,0.004,-0.016,0.021,,
500.5,-0.012,0.024,0.022,-0.026,-0.019,-0.018,,,
501,-0.013,0.026,0.025,-0.024,-0.054,-0.01,,,
501.5,-0.01,0.022,0.024,-0.036,-0.076,0.004,,,
502,-0.008,0.025,0.024,-0.043,-0.052,0.016,,,
502.5,-0.007,0.018,0.022,-0.047,-0.028,0.012,,,
503,-0.006,0.012,0.019,-0.039,-0.023,0.018,,,
503.5,-0.006,0.02,0.021,-0.051,-0.024,0.029,,,
504,-0.006,0.018,0.016,-0.029,-0.032,0.03,,,
504.5,-0.007,0.021,0.024,-0.017,-0.031,0.024,,,
505,-0.007,0.019,0.026,-0.013,-0.028,0.028,,,
505.5,-0.008,0.018,0.025,-0.004,-0.038,0.041,,,
506,-0.008,0.018,0.029,-0.001,-0.057,0.05,,,
506.5,-0.009,0.012,0.027,-0.01,-0.058,0.054,,,
507,-0.009,0.013,0.029,-0.016,-0.03,0.053,,,
507.5,-0.009,0.01,0.027,-0.011,-0.01,0.047,,,
508,-0.008,0.015,0.028,-0.007,-0.007,0.049,,,
508.5,-0.008,0.021,0.029,0,-0.023,0.05,,,
509,-0.009,0.025,0.024,0.006,-0.017,0.047,,,
509.5,-0.009,0.029,0.026,0.014,0.007,0.042,,,
510,-0.009,0.027,0.021,0.013,0.019,0.048,,,
510.5,-0.011,0.029,0.023,0.003,0.011,0.053,,,
511,-0.011,0.027,0.022,-0.001,0.009,0.058,,,
511.5,-0.009,0.023,0.017,0,0.013,0.059,,,
512,-0.007,0.022,0.019,0.005,0.025,0.053,,,
512.5,-0.006,0.014,0.016,0.009,0.029,0.049,,,
513,-0.006,0.016,0.017,0.014,0.03,0.05,,,
513.5,-0.006,0.019,0.016,0.016,0.042,0.049,,,
514,-0.007,0.021,0.023,0.015,0.05,0.045,,,
514.5,-0.006,0.022,0.022,0.014,0.052,0.039,,,
515,-0.007,0.017,0.019,0.01,0.045,0.045,,,
515.5,-0.007,0.019,0.02,0.01,0.045,0.057,,,
516,-0.006,0.016,0.018,0.018,0.049,0.061,,,
516.5,-0.008,0.016,0.017,0.021,0.048,0.062,,,
517,-0.006,0.012,0.019,0.025,0.043,0.053,,,
517.5,-0.007,0.015,0.016,0.025,0.041,0.051,,,
518,-0.008,0.022,0.018,0.027,0.05,0.055,,,
518.5,-0.008,0.021,0.013,0.026,0.053,0.05,,,
519,-0.008,0.026,0.012,0.027,0.058,0.044,,,
519.5,-0.009,0.027,0.014,0.022,0.056,0.045,,,
520,-0.009,0.028,0.01,0.012,0.048,0.051,,,
520.5,-0.01,0.024,0.009,0.015,0.05,0.058,,,
521,-0.011,0.022,0.006,0.019,0.05,0.059,,,
521.5,-0.008,0.024,0.01,0.022,0.046,0.056,,,
522,-0.006,0.018,0.01,0.021,0.039,0.044,,,
522.5,-0.007,0.01,0.01,0.02,0.044,0.044,,,
523,-0.005,0.011,0.01,0.02,0.051,0.046,,,
523.5,-0.006,0.014,0.013,0.015,0.059,0.044,,,
524,-0.004,0.015,0.013,0.015,0.064,0.039,,,
524.5,-0.005,0.014,0.009,0.011,0.06,0.041,,,
525,-0.007,0.017,0.012,0.012,0.055,0.048,,,
525.5,-0.005,0.015,0.012,0.02,0.056,0.055,,,
526,-0.006,0.014,0.011,0.022,0.053,0.057,,,
526.5,-0.006,0.013,0.011,0.026,0.049,0.056,,,
527,-0.006,0.009,0.01,0.026,0.043,0.049,,,
527.5,-0.007,0.016,0.011,0.027,0.049,0.05,,,
528,-0.008,0.019,0.009,0.026,0.056,0.052,,,
528.5,-0.008,0.022,0.002,0.024,0.057,0.048,,,
529,-0.007,0.024,0.003,0.022,0.055,0.043,,,
529.5,-0.008,0.025,0.003,0.017,0.046,0.04,,,
530,-0.008,0.024,0.008,0.018,0.041,0.051,,,
530.5,-0.01,0.022,0.007,0.021,0.045,0.058,,,
531,-0.007,0.025,0.009,0.024,0.045,0.058,,,
531.5,-0.005,0.022,0.007,0.023,0.041,0.056,,,
532,-0.006,0.021,0.005,0.019,0.034,0.054,,,
532.5,-0.004,0.014,0.005,0.019,0.042,0.054,,,
533,-0.004,0.014,0.003,0.016,0.054,0.053,,,
533.5,-0.006,0.022,0.005,0.016,0.058,0.048,,,
534,-0.005,0.021,0.006,0.013,0.058,0.043,,,
534.5,-0.006,0.021,0.008,0.012,0.049,0.045,,,
535,-0.004,0.021,0.008,0.019,0.047,0.051,,,
535.5,-0.004,0.015,0.005,0.023,0.053,0.055,,,
536,-0.004,0.016,0.006,0.028,0.05,0.057,,,
536.5,-0.007,0.012,-0.001,0.028,0.044,0.056,,,
537,-0.009,0.012,-0.018,0.029,0.036,0.053,,,
537.5,-0.009,0.008,-0.051,0.028,0.045,0.054,,,
538,-0.01,0.021,-0.066,0.026,0.058,0.053,,,
538.5,-0.009,0.022,-0.059,0.025,0.061,0.05,,,
539,-0.008,0.022,-0.044,0.02,0.059,0.045,,,
539.5,-0.009,0.027,-0.03,0.016,0.053,0.046,,,
540,-0.009,0.025,-0.023,0.02,0.048,0.055,,,
540.5,-0.009,0.025,-0.023,0.023,0.052,0.061,,,
541,-0.007,0.024,-0.021,0.024,0.051,0.064,,,
541.5,-0.006,0.019,-0.022,0.022,0.044,,,,
542,-0.007,0.022,-0.024,0.023,0.037,,,,
542.5,-0.006,0.02,-0.022,0.021,0.047,,,,
543,-0.007,0.02,-0.016,0.02,0.055,,,,
543.5,-0.005,0.022,-0.015,0.017,0.059,,,,
544,-0.006,0.022,-0.023,0.011,0.06,,,,
544.5,-0.005,0.02,-0.027,0.019,0.055,,,,
545,-0.006,0.018,-0.031,0.022,0.055,,,,
545.5,-0.009,0.019,-0.042,0.023,0.058,,,,
546,-0.011,0.014,-0.043,0.024,0.053,,,,
546.5,-0.01,0.014,-0.036,0.025,0.045,,,,
547,-0.009,0.014,-0.035,0.028,0.036,,,,
547.5,-0.008,0.015,-0.015,0.028,0.041,,,,
548,-0.009,0.022,-0.016,0.028,0.053,,,,
548.5,-0.009,0.02,-0.024,0.025,0.061,,,,
549,-0.01,0.024,-0.026,0.019,0.062,,,,
549.5,-0.01,0.024,-0.023,0.013,0.058,,,,
550,-0.012,0.026,-0.022,0.015,0.055,,,,
550.5,-0.011,0.025,-0.03,0.02,0.058,,,,
551,-0.011,0.022,-0.032,0.021,0.055,,,,
551.5,-0.01,0.023,-0.037,0.021,0.048,,,,
552,-0.009,0.018,-0.034,0.021,0.043,,,,
552.5,-0.01,0.019,-0.028,0.018,0.052,,,,
553,-0.009,0.019,-0.025,0.017,0.059,,,,
553.5,-0.01,0.019,-0.021,0.013,0.064,,,,
554,-0.01,0.023,-0.014,0.01,0.063,,,,
554.5,-0.009,0.018,-0.017,0.017,0.058,,,,
555,-0.01,0.02,-0.02,0.023,0.054,,,,
555.5,-0.011,0.018,-0.023,0.023,0.058,,,,
556,-0.012,0.017,-0.023,0.022,0.054,,,,
556.5,-0.012,0.016,-0.022,0.026,0.046,,,,
557,-0.011,0.013,-0.01,0.028,0.044,,,,
557.5,-0.012,0.016,0.003,0.031,0.052,,,,
558,-0.011,0.023,0.005,0.029,0.061,,,,
558.5,-0.012,0.023,0.005,0.026,0.065,,,,
559,-0.012,0.026,0.004,0.021,0.064,,,,
559.5,-0.012,0.029,0,0.019,0.06,,,,
560,-0.011,0.028,0.001,0.025,0.058,,,,
560.5,-0.011,0.026,0.006,0.026,0.057,,,,
561,-0.011,0.031,0.007,0.024,0.055,,,,
561.5,-0.011,0.026,0.01,0.023,0.051,,,,
562,-0.011,0.023,0.014,0.02,0.054,,,,
562.5,-0.011,0.019,0.021,0.02,0.064,,,,
563,-0.011,0.023,0.021,0.016,0.063,,,,
563.5,-0.012,0.026,0.024,0.012,0.063,,,,
564,-0.012,0.025,0.021,0.013,0.063,,,,
564.5,-0.013,0.022,0.019,0.021,0.06,,,,
565,-0.013,0.021,0.018,0.026,0.057,,,,
565.5,-0.013,0.017,0.015,0.026,0.056,,,,
566,-0.014,0.018,0.02,0.029,0.052,,,,
566.5,-0.014,0.016,0.021,0.026,0.046,,,,
567,-0.014,0.015,0.02,0.025,0.054,,,,
567.5,-0.013,0.017,0.02,0.025,0.061,,,,
568,-0.013,0.02,0.017,0.023,0.059,,,,
568.5,-0.013,0.024,0.016,0.022,0.06,,,,
569,-0.013,0.023,0.012,0.014,0.055,,,,
569.5,-0.013,0.028,0.013,0.017,0.042,,,,
570,-0.013,0.025,0.023,0.023,0.039,,,,
570.5,-0.014,0.024,0.024,0.022,0.039,,,,
571,-0.014,0.024,0.028,0.022,0.036,,,,
571.5,-0.018,0.021,0.027,0.019,0.034,,,,
572,-0.041,0.023,0.03,0.018,0.037,,,,
572.5,-0.051,0.014,0.028,0.016,0.04,,,,
573,-0.033,0.019,0.026,0.013,0.043,,,,
573.5,-0.028,0.022,0.026,0.012,0.045,,,,
574,-0.026,0.019,0.021,0.01,0.034,,,,
574.5,-0.023,0.021,0.017,0.018,0.028,,,,
575,-0.021,0.019,0.018,0.023,0.029,,,,
575.5,-0.022,0.02,0.023,0.028,0.032,,,,
576,-0.022,0.017,0.024,0.031,0.028,,,,
576.5,-0.024,0.015,0.021,0.028,0.024,,,,
577,-0.026,0.014,0.022,0.029,0.028,,,,
577.5,-0.025,0.017,0.018,0.026,0.03,,,,
578,-0.025,0.027,0.017,0.025,0.03,,,,
578.5,-0.027,0.03,0.014,0.02,0.026,,,,
579,-0.025,0.033,0.011,0.014,0.015,,,,
579.5,-0.023,0.035,0.014,0.019,0.017,,,,
580,-0.024,0.029,0.022,0.025,0.017,,,,
580.5,-0.025,0.031,0.026,0.027,0.012,,,,
581,-0.023,0.029,0.03,0.026,-0.004,,,,
581.5,-0.024,0.027,0.029,0.022,-0.021,,,,
582,-0.025,0.016,0.029,0.021,-0.056,,,,
582.5,-0.026,0.018,0.025,0.015,-0.075,,,,
583,-0.027,0.025,0.029,0.014,-0.068,,,,
583.5,-0.027,0.023,0.026,0.01,-0.041,,,,
584,-0.023,0.025,0.021,0.01,-0.02,,,,
584.5,-0.023,0.023,0.015,0.021,-0.024,,,,
585,-0.024,0.02,0.018,0.023,-0.033,,,,
585.5,-0.022,0.019,0.025,0.031,-0.035,,,,
586,-0.022,0.017,0.022,0.03,-0.038,,,,
586.5,-0.021,0.019,0.024,0.032,-0.038,,,,
587,-0.02,0.018,0.021,0.032,-0.035,,,,
587.5,-0.02,0.029,0.019,0.029,-0.038,,,,
588,-0.024,0.027,0.017,0.026,-0.045,,,,
588.5,-0.021,0.029,0.013,0.021,-0.026,,,,
589,-0.02,0.034,0.016,0.023,-0.01,,,,
589.5,-0.02,0.028,0.022,0.021,-0.02,,,,
590,-0.019,0.032,0.025,0.023,-0.017,,,,
590.5,-0.017,0.028,0.026,0.026,-0.005,,,,
591,-0.016,0.022,0.028,0.024,0.011,,,,
591.5,-0.016,0.021,0.031,0.024,0.023,,,,
592,-0.016,0.017,0.028,0.02,0.027,,,,
592.5,-0.016,0.019,0.03,0.018,0.023,,,,
593,-0.016,0.022,0.028,0.016,0.03,,,,
593.5,-0.015,0.025,0.021,0.01,0.038,,,,
594,-0.013,0.022,0.014,0.016,0.039,,,,
594.5,-0.011,0.021,0.013,0.024,0.035,,,,
595,-0.01,0.022,0.021,0.029,0.041,,,,
595.5,-0.01,0.017,0.021,0.029,0.05,,,,
596,-0.012,0.019,0.02,0.029,0.056,,,,
596.5,-0.013,0.021,0.019,0.031,0.057,,,,
597,-0.01,0.025,0.016,0.028,0.048,,,,
597.5,-0.006,0.024,0.016,0.028,0.044,,,,
598,-0.007,0.023,0.012,0.027,0.046,,,,
598.5,-0.006,0.028,0.01,0.03,0.045,,,,
599,-0.006,0.024,0.007,0.029,0.041,,,,
599.5,-0.007,0.025,0.014,0.026,0.04,,,,
600,-0.007,0.024,0.021,0.026,0.048,,,,
600.5,-0.007,0.019,0.026,0.024,0.056,,,,
601,-0.01,0.022,0.028,0.026,0.059,,,,
601.5,-0.01,0.01,0.026,0.024,0.057,,,,
602,-0.009,0.013,0.025,0.022,0.048,,,,
602.5,-0.008,0.013,0.025,0.021,0.049,,,,
603,-0.009,0.011,0.018,0.015,0.049,,,,
603.5,-0.008,0.012,0.018,0.015,0.046,,,,
604,-0.01,0.013,0.014,0.019,0.041,,,,
604.5,-0.009,0.013,0.017,0.026,0.043,,,,
605,-0.011,0.011,0.024,0.029,0.053,,,,
605.5,-0.012,0.011,0.024,0.027,0.06,,,,
606,-0.012,0.006,0.023,0.029,0.061,,,,
606.5,-0.009,0.009,0.02,0.028,0.056,,,,
607,-0.008,0.013,0.021,0.032,0.052,,,,
607.5,-0.008,0.013,0.018,0.031,0.053,,,,
608,-0.007,0.016,0.017,0.029,0.053,,,,
608.5,-0.006,0.016,0.013,0.029,0.049,,,,
609,-0.007,0.01,0.006,0.028,0.042,,,,
609.5,-0.007,0.015,0.018,0.029,0.044,,,,
610,-0.006,0.012,0.024,0.026,0.051,,,,
610.5,-0.009,0.013,0.03,0.026,0.055,,,,
611,-0.008,0.005,0.031,0.024,0.054,,,,
611.5,-0.009,0,0.027,0.022,0.051,,,,
612,-0.009,0.002,0.026,0.024,0.044,,,,
612.5,-0.009,0.004,0.025,0.021,0.049,,,,
613,-0.008,0.007,0.024,0.021,0.049,,,,
613.5,-0.008,0.006,0.02,0.025,0.045,,,,
614,-0.009,0.008,0.015,0.029,0.04,,,,
614.5,-0.008,0.007,0.018,0.031,0.045,,,,
615,-0.01,0.002,0.022,0.03,0.057,,,,
615.5,-0.011,0.002,0.025,0.033,0.063,,,,
616,-0.011,0.004,0.023,0.032,0.062,,,,
616.5,-0.008,0.007,0.022,0.032,0.055,,,,
617,-0.006,0.008,0.021,0.032,0.05,,,,
617.5,-0.006,0.01,0.016,0.029,0.054,,,,
618,-0.005,0.007,0.016,0.03,0.052,,,,
618.5,-0.007,0.007,0.01,0.025,0.047,,,,
619,-0.006,0.009,0.012,0.022,0.039,,,,
619.5,-0.006,0.007,0.02,0.023,0.045,,,,
620,-0.007,0.007,0.024,0.024,0.054,,,,
620.5,-0.007,0,0.025,0.022,0.055,,,,
621,-0.008,-0.004,0.027,0.02,0.054,,,,
621.5,-0.008,0.001,0.03,0.021,0.049,,,,
622,-0.007,0.001,0.027,0.018,0.046,,,,
622.5,-0.007,0.002,0.026,0.018,0.05,,,,
623,-0.007,0.002,0.027,0.019,0.049,,,,
623.5,-0.008,0.001,0.023,0.021,0.043,,,,
624,-0.007,-0.002,0.021,0.025,0.034,,,,
624.5,-0.009,-0.009,0.02,0.024,0.041,,,,
625,-0.01,-0.014,0.024,0.026,0.058,,,,
625.5,-0.01,-0.036,0.024,0.025,0.061,,,,
626,-0.011,-0.061,0.024,0.022,0.058,,,,
626.5,-0.008,-0.065,0.022,0.026,0.051,,,,
627,-0.007,-0.044,0.018,0.024,0.051,,,,
627.5,-0.006,-0.022,0.018,0.025,0.057,,,,
628,-0.006,-0.018,0.012,0.021,0.053,,,,
628.5,-0.006,-0.027,0.011,0.016,0.045,,,,
629,-0.006,-0.033,0.014,0.016,0.038,,,,
629.5,-0.007,-0.034,0.02,0.013,0.048,,,,
630,-0.007,-0.023,0.025,0.015,0.059,,,,
630.5,-0.007,-0.01,0.025,0.016,0.066,,,,
631,-0.011,-0.021,0.031,0.015,0.061,,,,
631.5,-0.011,-0.031,0.032,0.014,0.056,,,,
632,-0.009,-0.024,0.03,0.009,0.053,,,,
632.5,-0.008,-0.023,0.03,0.01,0.055,,,,
633,-0.007,-0.014,0.026,0.011,0.052,,,,
633.5,-0.007,-0.028,0.028,0.012,0.045,,,,
634,-0.008,-0.035,0.021,0.013,0.045,,,,
634.5,-0.009,-0.037,0.025,0.013,0.053,,,,
635,-0.009,-0.034,0.028,0.013,0.061,,,,
635.5,-0.01,-0.032,0.025,0.011,0.066,,,,
636,-0.008,-0.029,0.028,0.014,0.064,,,,
636.5,-0.007,-0.025,0.024,0.014,0.058,,,,
637,-0.008,-0.023,0.023,0.013,0.057,,,,
637.5,-0.006,-0.023,0.019,0.011,0.057,,,,
638,-0.005,-0.032,0.014,0.008,0.051,,,,
638.5,-0.004,-0.039,0.016,0.007,0.047,,,,
639,-0.006,-0.039,0.021,0.006,0.048,,,,
639.5,-0.006,-0.04,0.029,0.008,0.059,,,,
640,-0.005,-0.04,0.026,0.007,0.067,,,,
640.5,-0.007,-0.031,0.026,0.007,0.069,,,,
641,-0.008,-0.021,0.03,0.007,0.067,,,,
641.5,-0.009,-0.013,0.026,0.004,0.057,,,,
642,-0.007,-0.01,0.028,0.004,0.056,,,,
642.5,-0.007,-0.007,0.025,0.007,0.055,,,,
643,-0.008,-0.014,0.026,0.01,0.052,,,,
643.5,-0.007,-0.017,0.022,0.012,0.048,,,,
644,-0.008,-0.015,0.014,0.01,0.053,,,,
644.5,-0.008,-0.005,0.022,0.012,0.061,,,,
645,-0.009,0,0.023,0.01,0.066,,,,
645.5,-0.011,0.004,0.026,0.01,0.065,,,,
646,-0.009,0.009,0.025,0.008,0.063,,,,
646.5,-0.008,0.012,0.02,0.007,0.048,,,,
647,-0.006,0.011,0.02,0.007,0.048,,,,
647.5,-0.006,0.001,0.015,0.001,0.047,,,,
648,-0.004,-0.004,0.015,-0.003,0.045,,,,
648.5,-0.005,0,0.013,-0.001,0.042,,,,
649,-0.005,0.008,0.02,0.002,0.049,,,,
649.5,-0.006,0.01,0.027,0.001,0.05,,,,
650,-0.007,0.014,0.031,-0.002,0.052,,,,
650.5,-0.008,0.016,0.035,-0.004,0.052,,,,
651,-0.007,0.013,0.031,-0.01,0.044,,,,
651.5,-0.009,0.016,0.033,-0.016,0.036,,,,
652,-0.006,0.01,0.031,-0.025,0.036,,,,
652.5,-0.006,0.006,0.024,-0.043,0.035,,,,
653,-0.006,0.015,0.024,-0.057,0.031,,,,
653.5,-0.006,0.018,0.017,-0.055,0.032,,,,
654,-0.007,0.023,0.023,-0.044,0.036,,,,
654.5,-0.008,0.024,0.028,-0.037,0.034,,,,
655,-0.009,0.028,0.027,-0.038,0.031,,,,
655.5,-0.009,0.024,0.026,-0.041,0.032,,,,
656,-0.01,0.024,0.022,-0.041,0.028,,,,
656.5,-0.007,0.027,0.022,-0.038,0.026,,,,
657,-0.005,0.015,0.019,-0.023,0.025,,,,
657.5,-0.007,0.015,0.02,-0.02,0.022,,,,
658,-0.003,0.019,0.02,-0.022,0.026,,,,
658.5,-0.005,0.02,0.023,-0.023,0.029,,,,
659,-0.004,0.02,0.029,-0.016,0.03,,,,
659.5,-0.004,0.019,0.029,-0.015,0.028,,,,
660,-0.006,0.02,0.036,-0.018,0.024,,,,
660.5,-0.007,0.016,0.036,-0.026,0.021,,,,
661,-0.008,0.017,0.034,-0.029,0.014,,,,
661.5,-0.008,0.011,0.034,-0.028,0.007,,,,
662,-0.007,0.008,0.029,-0.027,-0.006,,,,
662.5,-0.005,0.015,0.027,-0.027,-0.029,,,,
663,-0.006,0.021,0.025,-0.033,-0.063,,,,
663.5,-0.007,0.026,0.023,-0.029,-0.073,,,,
664,-0.006,0.028,0.022,-0.039,-0.055,,,,
664.5,-0.008,0.029,0.023,-0.04,-0.045,,,,
665,-0.008,0.03,0.025,-0.04,-0.059,,,,
665.5,-0.009,0.029,0.02,-0.04,-0.071,,,,
666,-0.009,0.03,0.023,-0.028,-0.054,,,,
666.5,-0.006,0.022,0.022,-0.013,-0.047,,,,
667,-0.005,0.013,0.02,-0.008,-0.036,,,,
667.5,-0.004,0.017,0.018,-0.006,-0.042,,,,
668,-0.004,0.02,0.019,-0.01,-0.041,,,,
668.5,-0.004,0.025,0.028,-0.016,-0.025,,,,
669,-0.004,0.022,0.027,-0.012,-0.003,,,,
669.5,-0.004,0.023,0.03,-0.011,-0.003,,,,
670,-0.003,0.021,0.03,-0.011,-0.006,,,,
670.5,-0.005,0.017,0.024,-0.008,-0.002,,,,
671,-0.007,0.015,0.026,-0.003,0.012,,,,
671.5,-0.007,0.01,0.026,0.002,0.021,,,,
672,-0.006,0.012,0.027,0.008,0.023,,,,
672.5,-0.005,0.02,0.024,0.013,0.025,,,,
673,-0.006,0.024,0.016,0.012,0.032,,,,
673.5,-0.005,0.025,0.016,0.011,0.043,,,,
674,-0.007,0.022,0.016,0.004,0.046,,,,
674.5,-0.008,0.022,0.018,0.007,0.04,,,,
675,-0.009,0.023,0.018,0.011,0.044,,,,
675.5,-0.009,0.028,0.018,0.015,0.046,,,,
676,-0.007,0.025,0.017,0.015,0.043,,,,
676.5,-0.006,0.02,0.013,0.013,0.033,,,,
677,-0.003,0.013,0.014,0.011,0.04,,,,
677.5,-0.004,0.013,0.009,0.008,0.057,,,,
678,-0.003,0.021,0.015,0.01,0.06,,,,
678.5,-0.001,0.022,0.017,0.009,0.055,,,,
679,-0.002,0.021,0.016,0.014,0.047,,,,
679.5,-0.001,0.02,0.018,0.02,0.047,,,,
680,-0.002,0.017,0.015,0.02,0.051,,,,
680.5,-0.003,0.017,0.018,0.025,0.048,,,,
681,-0.007,0.012,0.017,0.025,0.042,,,,
681.5,-0.006,0.007,0.017,0.025,0.04,,,,
682,-0.004,0.005,0.016,0.025,0.051,,,,
682.5,-0.004,0.016,0.009,0.025,0.057,,,,
683,-0.004,0.024,0.007,0.025,0.058,,,,
683.5,-0.004,0.025,0.007,0.018,0.054,,,,
684,-0.005,0.026,0.009,0.019,0.05,,,,
684.5,-0.005,0.025,0.008,0.022,0.05,,,,
685,-0.007,0.027,0.007,0.021,0.053,,,,
685.5,-0.006,0.021,0.008,0.022,0.049,,,,
686,-0.004,0.018,0.003,0.02,0.041,,,,
686.5,-0.004,0.015,0.001,0.02,0.044,,,,
687,-0.004,0.01,0.008,0.018,0.055,,,,
687.5,-0.004,0.016,0.01,0.015,0.06,,,,
688,-0.002,0.023,0.01,0.013,0.064,,,,
688.5,-0.002,0.022,0.01,0.009,0.058,,,,
689,-0.003,0.024,0.012,0.019,0.046,,,,
689.5,-0.003,0.019,0.01,0.024,0.049,,,,
690,-0.004,0.019,0.011,0.027,0.049,,,,
690.5,-0.004,0.017,0.012,0.03,0.044,,,,
691,-0.007,0.013,0.01,0.027,0.036,,,,
691.5,-0.004,0.007,0.01,0.028,0.037,,,,
692,-0.005,0.014,0.001,0.026,0.052,,,,
692.5,-0.005,0.024,0.002,0.025,0.058,,,,
693,-0.005,0.022,0.004,0.019,0.057,,,,
693.5,-0.005,0.026,0.005,0.015,0.05,,,,
694,-0.005,0.028,0.004,0.019,0.044,,,,
694.5,-0.006,0.026,0.002,0.019,0.051,,,,
695,-0.006,0.029,0.003,0.021,0.051,,,,
695.5,-0.007,0.023,-0.002,0.02,0.046,,,,
696,-0.005,0.021,0.003,0.019,0.037,,,,
696.5,-0.003,0.021,0.003,0.018,0.043,,,,
697,-0.002,0.018,0.002,0.016,0.056,,,,
697.5,-0.001,0.013,0.003,0.015,0.061,,,,
698,-0.002,0.017,0,0.015,0.06,,,,
698.5,-0.002,0.025,-0.004,0.021,0.05,,,,
699,-0.002,0.022,-0.015,0.024,0.047,,,,
699.5,-0.004,0.021,-0.029,0.026,0.051,,,,
700,-0.006,0.017,-0.06,0.03,0.049,,,,
700.5,-0.008,0.013,-0.086,0.029,0.044,,,,
701,-0.007,0.014,-0.073,0.029,0.035,,,,
701.5,-0.005,0.008,-0.041,0.027,0.041,,,,
702,-0.005,0.02,-0.021,0.027,0.055,,,,
702.5,-0.004,0.024,-0.014,0.02,0.058,,,,
703,-0.004,0.022,-0.012,0.013,0.055,,,,
703.5,-0.004,0.027,-0.015,0.017,0.049,,,,
704,-0.005,0.027,-0.018,0.021,0.051,,,,
704.5,-0.009,0.028,-0.013,0.022,0.055,,,,
705,-0.007,0.026,-0.013,0.022,0.052,,,,
705.5,-0.005,0.03,-0.023,0.019,0.043,,,,
706,-0.005,0.023,-0.027,0.019,0.036,,,,
706.5,-0.004,0.018,-0.03,0.016,0.046,,,,
707,-0.004,0.014,-0.031,0.015,0.06,,,,
707.5,-0.005,0.018,-0.028,0.014,0.062,,,,
708,-0.005,0.026,-0.028,0.019,0.057,,,,
708.5,-0.004,0.026,-0.027,0.021,0.052,,,,
709,-0.006,0.021,-0.029,0.022,0.053,,,,
709.5,-0.006,0.02,-0.034,0.026,0.056,,,,
710,-0.009,0.016,-0.042,0.027,0.052,,,,
