time_s,water_b1_ml_min,water_b2_ml_min,water_b3_ml_min,water_a1_ml_min,si350_t1_ml_min,si350_t2_ml_min,si350_t3_ml_min,si1000_t1_ml_min,si1000_t2_ml_min,si1000_t3_ml_min,si5000_t1_ml_min,si5000_t2_ml_min,si5000_t3_ml_min,si12500_t1_ml_min,si12500_t2_ml_min,si12500_t3_ml_min
86.027,0.412,0.1938,0.3424,0.0604,0.0814,0.063,0.062,0.1038,0.0884,0.1156,0.0846,0.0004,0.08,0.0308,0.0914,0.0704
86.527,0.3762,-1.047,0.2586,0.068,0.0768,0.0212,0.0648,0.0954,0.0972,0.107,0.0816,-0.0132,0.0796,0.0242,0.087,0.0746
87.027,0.405,-0.0902,0.2684,0.0586,0.0684,-0.142,0.0376,0.0904,0.1004,0.0992,0.0782,-0.0148,0.0778,0.0258,0.0762,0.0786
87.527,0.4972,-0.1406,0.2514,0.049,0.0692,-0.1246,-0.1322,0.0842,0.1096,0.0964,0.0762,-0.0066,0.0734,0.0332,0.0584,0.0832
88.027,0.4432,-0.1002,0.2036,0.048,0.0696,-0.0894,-0.1208,0.0778,0.1152,0.0898,0.0746,0.0068,0.0614,0.0414,0.0422,0.0866
88.527,0.3898,-0.0474,0.179,0.0502,0.0598,-0.0674,-0.0796,0.0736,0.1152,0.0826,0.071,0.0254,0.042,0.051,0.0338,0.089
89.027,0.5228,0.0474,0.217,0.0442,0.0648,0.0058,-0.0616,0.0708,0.12,0.08,0.0622,0.043,0.036,0.0598,0.032,0.0914
89.527,0.3774,0.3114,0.1866,0.0448,0.0636,0.0634,-0.0078,0.0678,0.1198,0.0776,0.0312,0.0544,0.034,0.0654,0.0342,0.0932
90.027,0.298,0.3994,0.1526,0.0458,-0.0612,0.1034,0.0474,0.0662,0.1164,0.0746,-0.01,0.0632,0.036,0.0714,0.0402,0.0934
90.527,0.3448,0.3304,0.1556,0.0424,-0.1652,0.1118,0.099,0.0642,0.1132,0.0718,-0.0264,0.0716,0.0396,0.0776,0.0468,0.094
91.027,0.366,0.4356,-1.2538,0.0414,-0.104,0.1048,0.1108,0.0356,0.1158,0.0688,-0.0294,0.0788,0.0448,0.0832,0.053,0.0938
91.527,0.2714,0.399,0.0308,0.043,-0.0746,0.116,0.1068,-0.055,0.1106,0.0296,-0.02,0.0836,0.0498,0.0878,0.06,0.0928
92.027,0.2106,0.3696,-0.0966,-0.0518,-0.0148,0.1116,0.1206,-0.0784,0.1002,-0.0726,-0.003,0.0904,0.0548,0.0934,0.0654,0.092
92.527,0.223,0.3802,-0.1562,0.0076,0.0398,0.102,0.1212,-0.0704,0.0916,-0.09,0.017,0.0954,0.06,0.0978,0.0702,0.0918
93.027,0.2176,0.5096,-0.1728,-0.0142,0.0852,0.1202,0.1128,-0.0546,0.0864,-0.078,0.0404,0.098,0.0634,0.1002,0.0752,0.0904
93.527,0.1856,0.4448,0.0356,-0.0258,0.102,0.125,0.1222,-0.031,0.0798,-0.0596,0.0578,0.0988,0.0662,0.1022,0.0808,0.089
94.027,0.184,0.397,0.1918,-0.0148,0.1074,0.1206,0.1198,0.0054,0.075,-0.0314,0.0668,0.1,0.0712,0.1038,0.085,0.087
94.527,0.2016,0.5142,0.328,0.0282,0.1176,0.114,0.1174,0.0468,0.075,0.0174,0.0726,0.1,0.076,0.104,0.0882,0.0814
95.027,0.1348,0.4118,0.4124,0.0392,0.121,0.123,0.1138,0.07,0.0702,0.0622,0.0812,0.0982,0.0782,0.104,0.092,0.0712
95.527,0.1416,0.35,0.3794,0.0588,0.1134,0.1094,0.128,0.0832,0.0674,0.0816,0.0876,0.0964,0.0806,0.1038,0.0946,0.057
96.027,-1.0808,0.325,0.482,0.0612,0.1068,0.0972,0.1134,0.094,0.0636,0.0946,0.0912,0.094,0.0826,0.1022,0.096,0.0444
96.527,-0.111,0.3242,0.388,0.0564,0.1274,0.096,0.0932,0.0974,0.0116,0.106,0.0962,0.0908,0.084,0.1018,0.0964,0.0384
97.027,-0.1206,0.2502,0.3612,0.066,0.1242,0.0908,0.088,0.098,-0.0708,0.1094,0.1008,0.0872,0.084,0.1,0.098,0.0364
97.527,-0.1598,0.198,0.4528,0.0612,0.1146,0.0768,0.0876,0.1068,-0.0802,0.1108,0.102,0.085,0.081,0.0992,0.0972,0.0388
98.027,0.0186,0.2332,0.491,0.06,0.1196,0.0688,0.0734,0.1104,-0.0746,0.1198,0.102,0.0826,0.0844,0.0972,0.0964,0.0434
98.527,0.2088,0.219,0.4696,0.0598,0.1166,0.0736,0.0688,0.11,-0.0564,0.1214,0.102,0.0798,0.084,0.0936,0.096,0.049
99.027,0.2324,0.1846,0.3816,0.0662,0.0984,0.0716,0.0718,0.1112,-0.021,0.1168,0.0998,0.0774,0.0838,0.0862,0.095,0.055
99.527,0.4142,0.1766,0.4512,0.0618,0.0906,0.0646,0.0634,0.112,0.0218,0.1184,0.0968,0.0692,0.0826,0.071,0.094,0.0608
100.027,0.442,0.1992,0.3572,0.0586,0.0972,0.068,0.0664,0.108,0.065,0.1192,0.0936,0.0452,0.082,0.0506,0.0922,0.0658
100.527,0.39,0.159,0.2992,0.0656,0.086,0.069,0.0694,0.102,0.086,0.113,0.091,0.0118,0.0818,0.0348,0.091,0.07
101.027,0.419,-1.0334,0.327,0.0614,0.0742,0.039,0.0702,0.0988,0.0938,0.1064,0.0874,-0.0068,0.0804,0.0256,0.0868,0.0744
101.527,0.456,-0.4368,0.2976,0.0548,0.0714,-0.1342,0.0446,0.0944,0.1048,0.1026,0.0844,-0.0102,0.08,0.0252,0.0782,0.0794
102.027,0.3976,-0.0844,0.202,0.052,0.0724,-0.1332,-0.1106,0.0868,0.108,0.0978,0.0822,-0.0054,0.0774,0.031,0.0624,0.0834
102.527,0.3444,-0.1494,0.1736,0.0534,0.0662,-0.0792,-0.1402,0.081,0.1082,0.0904,0.0784,0.0064,0.069,0.04,0.047,0.0862
103.027,0.589,-0.1774,0.2066,0.048,0.0646,-0.0488,-0.0854,0.0776,0.1166,0.0842,0.0744,0.025,0.0498,0.0494,0.038,0.089
103.527,0.5112,0.0584,0.199,0.0452,0.0716,-0.007,-0.0488,0.0742,0.127,0.0802,0.067,0.0412,0.0398,0.0574,0.0354,0.0914
104.027,0.3382,0.2276,0.181,0.0464,0.0598,0.0452,-0.0222,0.0694,0.124,0.0762,0.0444,0.0512,0.037,0.0644,0.0368,0.092
104.527,0.3282,0.2636,0.1764,0.0454,0.0162,0.078,0.0434,0.068,0.1174,0.0752,0.0014,0.0628,0.0376,0.071,0.042,0.094
