sample_name,pump_rollers,cycle_number,a1,a2,a3,a4,h1,h2,h3,h4,b1,b2,b3,b4,duration_sec,flow_max_ml_min,flow_min_ml_min,viscosity_cp
CF955,2,1,0.06863227753216009,0.49899999999999994,0.7841969158842362,0.9088605683140328,0.3749577716367339,0.06605174444817778,-0.08789541453572505,-0.3435820142810169,0.020398894551988022,0.060436559241343724,0.013201869213408247,0.017928812513192633,167.5,-0.008,-0.039,1.0
CF955,2,2,0.034276700390242845,0.49899999999999994,0.8066396290325006,0.9480802040483269,0.35801128668053117,0.07626206747542087,-0.10101332456602383,-0.3577370809437853,0.018273891186497564,0.09899999999611403,0.017680757953899492,0.023013585313681768,154.5,-0.006,-0.047,1.0
CF955,2,3,0.06810089290645743,0.49899999999999994,0.7976859548965407,0.9435488930491019,0.3637643543254445,0.06689524490138793,-0.07334691097526885,-0.3720514354710646,0.020351007686045423,0.07616414017953785,0.01550986297542473,0.01917930520030191,159.5,-0.004,-0.051,1.0
CF955,2,4,0.0744223769482937,0.49899999999999994,0.5041899796079439,0.9200572827635712,0.3870952553900227,0.9899999999999999,-0.9665111918185368,-0.4786522021033382,0.022221498124279235,0.08912926016400198,0.09899999999999999,0.03585913460174604,164.5,-0.001,-0.051,1.0
CF955,2,5,0.047345458361012616,0.49899999999999994,0.7800774567785581,0.9189901079812818,0.3913936418414648,0.07682279229426495,-0.10838340350854539,-0.3610905243307473,0.022825469504122186,0.09899999999999999,0.014685599086948468,0.018654286281733518,159.5,0.001,-0.058,1.0
F50,2,1,0.061669757056939015,0.49899999999996325,0.7704451531954447,0.9069965503041648,0.5177141762462099,0.038287553946120184,-0.12915685797557555,-0.41166657346232327,0.019114623813027483,0.061001426825282076,0.01427389036570933,0.018413186435415008,161.5,0.033,-0.068,50.0
F50,2,2,0.03535182046637541,0.49899999999999994,0.7870907927723614,0.9569500842942379,0.7309631872541428,0.050033604946708374,-0.1481100210649949,-0.7329024576735103,0.01727727136030763,0.055844816099016405,0.016311743980200067,0.029882259022228835,157.5,0.032,-0.055,50.0
F50,2,3,0.05155429384285969,0.4973606557377049,0.8399718058366423,0.9899999999999999,0.6245216525345555,0.03541442361718316,-0.12884841249804166,-0.7490616334263704,0.023551803676156533,0.04371308510242584,0.014790284293953656,0.01248332994584009,152.0,0.035,-0.065,50.0
F50,2,4,0.10003209434729049,0.4974326018808292,0.8592979606076939,0.9899999999985417,0.5508614991649428,0.021787628262456827,-0.12365973252069892,-0.6174722660476495,0.033196541133530925,0.05309548847016883,0.014756047722322344,0.011682593206926693,159.0,0.034,-0.08,50.0
F100,2,1,0.10556874979881643,0.49745201238390085,0.49845201238390097,0.9899999999999999,0.5989998930331445,0.4834165019363334,-0.49844463355138635,-0.8164442551353855,0.02839598285310579,0.0827776869994074,0.09899999999999999,0.039283848068646904,161.0,0.038,-0.057,100.0
