sample_name,trial,cycle_number,line1_slope,line1_intercept,line2_quad_coeff,line2_line_coeff,line2_const_coeff,line3_quad_coeff,line3_line_coeff,line3_const_coeff,line4_slope,line4_intercept,max_peak,min_peak,time_line1,time_line2,time_line3,time_line4,viscosity_cp
water,b1,1,0.7317285714285697,-6.532335909523792,-0.02163367404144238,0.6167907283021096,-3.925072992263056,0.014315379874063517,-0.5710643905952549,5.897636659778786,-1.5540656585394583,33.906207488132914,0.4783542857142857,-1.2663371428571408,1.0,6.502000000000001,6.001999999999999,1.0020000000000024,1
water,b1,2,1.2505428571428492,-29.251540866666478,-0.022203376520622226,1.2730767674432406,-17.802528269489127,0.01064532182103689,-0.7404854300785476,13.099633831987965,-1.7191714285714355,62.43568649523835,0.4835771428571428,-1.4106057142857087,1.0,6.000999999999998,6.5000000000000036,1.0,1
water,b1,3,1.429857142857132,-54.147489428571006,-0.01709182246324859,1.5060335303551597,-32.70537545651519,0.005082128851539619,-0.517551442464891,13.393179763310686,-1.776985714285714,91.17227922857138,0.45022285714285704,-1.4643628571428526,1.0,5.5,7.5,1.0,1
water,b1,4,1.4685142857143054,-77.65888300952489,-0.022521090338242542,2.614602629919706,-75.43213001272483,0.009336733521042596,-1.2061536484804818,39.16235418722533,-1.4714142857143553,96.85617692857608,0.47787999999999986,-1.4760571428571372,1.0,6.0,6.500999999999998,1.0,1
water,b1,5,1.1900571428571507,-80.19405466666717,-0.022256296034319726,3.237038735742252,-117.24927922181548,0.010654639668128484,-1.6764321163664309,66.17091416993429,-1.5255857142857427,122.5879846238118,0.48549142857142846,-1.2129228571428552,1.0,6.003,6.509,1.0,1
water,b1,6,1.180042857142851,-96.70119877618994,-0.017050777793645767,3.003662702898942,-131.80646669709088,0.0004952747252758626,-0.13857339946645503,8.818994469248356,-0.05580000000000175,5.449393266666833,0.4666514285714285,-1.2225114285714251,1.0,5.5,6.5,1.0,1
water,b2,1,0.4015571428571432,-0.36098994761904796,-0.011978714618714595,0.12398069168165148,0.13489165917818216,0.021653904004225125,-0.4463389927628542,2.4986042179578223,-1.360385714285713,16.804755376190457,0.48031428571428564,-1.0506428571428579,0.9999999999999999,5.0,5.502000000000001,1.0,1
water,b2,2,1.0125857142857133,-14.102209938095227,-0.013362603111174426,0.5706801386727522,-5.536841874898297,0.006826836643589634,-0.35585839363335314,4.862230238452049,-1.3490000000000102,36.22596366666695,0.5121542857142857,-1.0557228571428536,1.0,5.5,7.004000000000001,1.0,1
water,b2,3,0.8985714285714225,-25.801860476190303,-0.019003120622202784,1.323954262709858,-22.543393885384372,-0.0009337785640570498,0.026186736983624254,0.6534726133735367,-1.0117142857142873,42.247786857142906,0.4614742857142856,-1.0912457142857146,1.0,5.001000000000001,8.0,1.0,1
water,b2,4,0.7383428571428422,-32.10919775238029,-0.021261173112601277,2.08321672001138,-50.56921129075124,0.007618634222920801,-0.8502348555102961,23.927608863801073,-1.2059714285714196,67.97187693333281,0.4801885714285714,-0.9331257142857127,1.0,6.0,6.5,1.0,1
water,b2,5,0.7754714285714424,-45.11034279047699,-0.021141645150474255,2.696576342263415,-85.51540550825446,0.0037485148877873897,-0.5637557305933277,21.257925018184505,-1.1995857142856983,85.24846159047502,0.48629714285714276,-1.1762428571428585,1.0,7.000999999999998,6.003,1.0,1
water,b2,6,1.1339142857142743,-82.62679998095149,-0.023296166494995173,3.6406231318869184,-141.77554981780767,0.010064175824175861,-1.6988081813500884,71.89692796291979,-1.3090999999999704,112.40855236666404,0.4823714285714285,-1.138537142857138,1.0,6.009,6.5,1.0,1
water,b2,7,0.9904285714285755,-86.60315490476228,-0.023285343228236118,4.310367835257001,-199.03609783624162,0.00507189952903873,-1.022626899842307,51.75047137955328,-1.3037428571428866,130.85052010476488,0.4646685714285714,-1.030194285714283,1.0,5.5,7.0,1.0,1
water,b3,1,-0.9205714285714279,2.063491619047617,-0.031230431339233655,0.554432609334588,-1.9958730427665172,0.011503789205667712,-0.353872921565334,2.9302773202456764,-1.6194571428571434,28.05795320952383,0.5247599999999999,-1.3051885714285691,1.0,7.0009999999999994,7.001000000000001,1.0,1
water,b3,2,1.2379142857142809,-23.43037265714276,-0.02628949029053174,1.2634147549535084,-14.702139887776879,0.019463888712254455,-1.152925444881752,17.27470669883157,-1.756128571428528,55.85992579999856,0.5008799999999999,-1.4423742857142836,1.0,6.504000000000001,6.000999999999998,1.0000000000000036,1
water,b3,3,1.4846000000000195,-49.53082440000066,-0.012903949383954422,1.0546088870066928,-20.972651276635926,0.004990844337735537,-0.45928756917170716,10.78725388809989,-1.5878428571428411,73.55894456190403,0.4832571428571427,-1.449839999999995,1.0,5.0,7.5,1.0,1
water,b3,4,1.3047142857142664,-62.442691714284784,-0.020729853004124183,2.216713228803988,-58.80672834369227,0.008363469387759365,-1.0057676292626572,30.442272889373424,-1.274000000000009,77.53490266666718,0.4602971428571428,-1.2846971428571388,1.0,6.0,6.5,1.0,1
water,b3,5,0.9454617397144398,-59.030421385326406,-0.01578972388955562,2.1742112043217006,-74.38286566339522,0.014250214250099931,-2.1080565649010343,78.17161166770327,-1.7940787152344637,136.0138350846966,0.465302857142857,-1.4873542857142865,1.0009999999999977,7.0,6.004000000000005,1.0049999999999955,1
water,b3,6,1.47046908273182,-113.81759347126314,-0.01777992150707982,2.9666610561092597,-123.27692725283106,0.013223062651638738,-2.3473211696882745,104.3858382246694,-1.5128285714285952,136.6579178000021,0.5108514285714285,-1.4953085714285657,1.0030000000000001,6.5,6.0,1.0,1
