mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.170973539352417,0.00911078967513814,0.0006690025329589844,0.0009461124553725493,0.5870727711973196,0.28539836866041823,10,7.848696955037492e-05,1.0748095940707634,0.5898830427398769,"OrderedDict({'colsample_bytree': 0.5870727711973196, 'learning_rate': 0.28539836866041823, 'max_depth': 10, 'reg_alpha': 7.848696955037492e-05, 'reg_lambda': 1.0748095940707634, 'subsample': 0.5898830427398769})",-1367.445556640625,-1685.005859375,-71.75444030761719,-1041.4019521077473,697.7933597292371,18
0.184327761332194,0.05351196945506496,0.0009097258249918619,0.001286546599744544,0.8861718488872989,0.5842928269761146,5,0.509733808604776,59.86200228570065,0.34361905859085,"OrderedDict({'colsample_bytree': 0.8861718488872989, 'learning_rate': 0.5842928269761146, 'max_depth': 5, 'reg_alpha': 0.509733808604776, 'reg_lambda': 59.86200228570065, 'subsample': 0.34361905859085})",-1335.919921875,-2298.168212890625,-719.0586547851562,-1451.0489298502605,649.7885632947782,25
0.18038352330525717,0.007597829596451309,0.0018399556477864583,0.001439808059888275,0.6113827586108063,0.6877728743793542,4,0.0003981042474885312,4.9158279814800046e-05,0.6175657406644093,"OrderedDict({'colsample_bytree': 0.6113827586108063, 'learning_rate': 0.6877728743793542, 'max_depth': 4, 'reg_alpha': 0.0003981042474885312, 'reg_lambda': 4.9158279814800046e-05, 'subsample': 0.6175657406644093})",-956.156982421875,-1467.77392578125,-552.9486694335938,-992.2931925455729,374.34892963158205,16
0.20434252421061197,0.0038358232826865165,0.002350489298502604,0.00048037446139752874,0.8686771918501544,0.022066991249460103,7,0.06555241362395212,0.050988349320080596,0.3668185274504954,"OrderedDict({'colsample_bytree': 0.8686771918501544, 'learning_rate': 0.022066991249460103, 'max_depth': 7, 'reg_alpha': 0.06555241362395212, 'reg_lambda': 0.050988349320080596, 'subsample': 0.3668185274504954})",-2524.451416015625,-1579.302734375,-940.3280029296875,-1681.3607177734375,650.7296524944271,27
0.048080126444498696,0.042379049548290054,0.0014115969340006511,0.0009981497643339998,0.8596874091250211,0.07517239253342656,7,0.019691535042645862,136.35424172019938,0.8019218058118858,"OrderedDict({'colsample_bytree': 0.8596874091250211, 'learning_rate': 0.07517239253342656, 'max_depth': 7, 'reg_alpha': 0.019691535042645862, 'reg_lambda': 136.35424172019938, 'subsample': 0.8019218058118858})",-829.7636108398438,-1126.3076171875,-322.9206237792969,-759.6639506022135,331.7058305873257,3
0.011137008666992188,0.0,0.0027219454447428384,0.0005055373989386703,0.8138196125898978,0.7563790218678241,4,1.35067776522188e-05,16.015078918709236,0.5608058445882804,"OrderedDict({'colsample_bytree': 0.8138196125898978, 'learning_rate': 0.7563790218678241, 'max_depth': 4, 'reg_alpha': 1.35067776522188e-05, 'reg_lambda': 16.015078918709236, 'subsample': 0.5608058445882804})",-843.0009765625,-2095.9501953125,-878.441650390625,-1272.4642740885417,582.4722065935285,22
0.008783340454101562,0.0,0.0,0.0,0.7319555509516213,0.35540927532494104,6,0.17617803914947217,0.21556441892068473,0.7162340245607869,"OrderedDict({'colsample_bytree': 0.7319555509516213, 'learning_rate': 0.35540927532494104, 'max_depth': 6, 'reg_alpha': 0.17617803914947217, 'reg_lambda': 0.21556441892068473, 'subsample': 0.7162340245607869})",-908.2573852539062,-1250.7332763671875,-191.84251403808594,-783.6110585530599,441.18396896418545,5
0.017883141835530598,0.0004712579621498098,0.001336495081583659,0.0004712579621498098,0.6803821473832188,0.6918603669668356,6,0.10615455213071195,0.0008251631794057066,0.33579418757393625,"OrderedDict({'colsample_bytree': 0.6803821473832188, 'learning_rate': 0.6918603669668356, 'max_depth': 6, 'reg_alpha': 0.10615455213071195, 'reg_lambda': 0.0008251631794057066, 'subsample': 0.33579418757393625})",-1605.9822998046875,-2204.59130859375,-244.92416381835938,-1351.8325907389324,819.9666194594708,24
0.009098052978515625,0.0,0.0,0.0,0.9688345904169497,0.2519085390684862,9,0.0003125550537556684,0.0026889509684762778,0.4479900010919373,"OrderedDict({'colsample_bytree': 0.9688345904169497, 'learning_rate': 0.2519085390684862, 'max_depth': 9, 'reg_alpha': 0.0003125550537556684, 'reg_lambda': 0.0026889509684762778, 'subsample': 0.4479900010919373})",-1101.6405029296875,-1750.8424072265625,-601.1621704101562,-1151.2150268554688,470.6622191468866,21
0.01040959358215332,0.0,0.0,0.0,0.30254121507832027,0.43217539671382244,8,3.367639130459833e-05,0.16142805944054853,0.4923003941847922,"OrderedDict({'colsample_bytree': 0.30254121507832027, 'learning_rate': 0.43217539671382244, 'max_depth': 8, 'reg_alpha': 3.367639130459833e-05, 'reg_lambda': 0.16142805944054853, 'subsample': 0.4923003941847922})",-1023.8352661132812,-1499.5963134765625,-415.02734375,-979.4863077799479,443.8825558653799,15
