pump,liquid,known_viscosity_cP,cycle_number,A,B,tau_normalized,tau_physical,tau,A_error,B_error,tau_normalized_error,tau_physical_error,tau_error,r_squared,rmse,cycle_duration,cycle_amplitude,time_span_normalized,time_span_physical
2-Roller Pump,F50,50.0,1,-0.0054051948051947974,0.25685714285714245,0.2683251157457832,43.33450619294399,43.33450619294399,0.0033936564235338656,0.03409111363828226,0.017886759589175575,2.8887116736518554,2.8887116736518554,0.3890662864337169,0.012630083591467462,161.5,0.078,0.9690402476780186,156.5
2-Roller Pump,F50,50.0,2,-0.004320779220779201,0.22023376623376578,0.29333328349285054,46.19999215012396,46.19999215012396,0.0028704449385868703,0.02723950007120514,0.018648843170350905,2.937192799330268,2.937192799330268,0.3703182975673943,0.010891737016766732,157.5,0.08399999999999999,0.9682539682539683,152.5
2-Roller Pump,F50,50.0,3,-0.0027835497835497795,0.16887214102344586,0.3756051301143052,57.09197977737439,57.09197977737439,0.0018321626595575165,0.015033195145535427,0.019043062156388603,2.8945454477710677,2.8945454477710677,0.5196141324670637,0.007394400785076489,152.0,0.1,0.9671052631578947,147.0
2-Roller Pump,F50,50.0,4,-0.004044155844155838,0.1303282817140214,0.4589871214114312,72.97895230441756,72.97895230441756,0.0025161091444066185,0.018298954172478746,0.041929342722038465,6.666765492804116,6.666765492804116,0.47770084934573553,0.010973131151388848,159.0,0.114,0.9685534591194969,154.0
2-Roller Pump,F100,100.0,1,-0.00408701298701298,0.15123838416731533,0.43838511285908593,70.58000317031284,70.58000317031284,0.0023100347872271137,0.01724866402762569,0.03145881610208957,5.064869392436421,5.064869392436421,0.519500702753182,0.010016884351997919,161.0,0.095,0.968944099378882,156.0
2-Roller Pump,F100,100.0,2,-0.005223809523809516,0.17763887109177343,0.3566556055479699,59.383158323736986,59.383158323736986,0.0033244796742921694,0.027509580162398413,0.031165612854477207,5.189074540270455,5.189074540270455,0.3808032651540406,0.013821554672377756,166.5,0.094,0.96996996996997,161.5
2-Roller Pump,F100,100.0,3,-0.005476190476190468,0.22882841049944877,0.30582650996233296,49.696807868879105,49.696807868879105,0.0031183633614719763,0.028516173129589577,0.020046991272491568,3.25763608177988,3.25763608177988,0.40848754528737463,0.012194463348443865,162.5,0.078,0.9692307692307692,157.5
2-Roller Pump,F100,100.0,4,-0.0033519480519480474,0.1778443867600173,0.3847093976525592,59.437601937320395,59.437601937320395,0.002136587051681855,0.017239147212827186,0.021563424093899587,3.3315490225074864,3.3315490225074864,0.5188632328764351,0.008754528116397549,154.5,0.122,0.9676375404530745,149.5
2-Roller Pump,F100,100.0,5,-0.006190043290043281,0.17674006611857776,0.3597859186043177,59.18478361041026,59.18478361041026,0.003299740462214182,0.026961272031013356,0.03137033517393784,5.1604201361127755,5.1604201361127755,0.3839879065944962,0.013672197105192047,164.5,0.121,0.9696048632218845,159.5
2-Roller Pump,F100,100.0,6,-0.003587012987009464,0.16475507228005373,0.3969786696941503,62.92111914652282,62.92111914652282,0.0022599335012465417,0.017855954866159412,0.025396762607542755,4.025386873295527,4.025386873295527,0.5082050758714511,0.00946272259717619,158.5,0.078,0.9684542586750788,153.5
2-Roller Pump,F100,100.0,7,-0.005447186147186139,0.20220461927476777,0.30881416650025445,53.270443721293894,53.270443721293894,0.00347467004202172,0.03147497918266582,0.025430563430825556,4.386772191817409,4.386772191817409,0.37516847096394335,0.01403289296552144,172.5,0.092,0.9710144927536232,167.5
2-Roller Pump,F100,100.0,8,-0.005650649350649265,0.2687834216195589,0.26961340748686663,42.73372508666836,42.73372508666836,0.0032130567393261404,0.0322529724098078,0.016241832833479988,2.574330504106578,2.574330504106578,0.3573399271618162,0.011867642261483187,158.5,0.093,0.9684542586750788,153.5
2-Roller Pump,F200,200.0,1,-0.005152813852813846,0.19595775948475475,0.3355209801635045,56.703045647632266,56.703045647632266,0.0033583613447285576,0.028927572939521334,0.027061288478072036,4.573357752794174,4.573357752794174,0.3872579271055627,0.013798436861633788,169.0,0.096,0.9704142011834319,164.0
2-Roller Pump,F200,200.0,2,-0.005331168831168823,0.25763636363636216,0.27107320388257294,44.72707864062453,44.72707864062453,0.0036249708308417994,0.03624811859030901,0.019154870396989675,3.1605536155032965,3.1605536155032965,0.37120660688378626,0.013682241786221069,165.0,0.08499999999999999,0.9696969696969697,160.0
