sample_name,trial,cycle_number,line1_slope,line1_intercept,line2_quad_coeff,line2_line_coeff,line2_const_coeff,line3_quad_coeff,line3_line_coeff,line3_const_coeff,line4_slope,line4_intercept,max_peak,min_peak,time_line1,time_line2,time_line3,time_line4,viscosity_cp
water,b1,1,0.41618571428571277,-3.9006032999999856,-0.026859875191554153,0.7532819880110908,-4.802118462459026,0.009393378050520835,-0.3962393277008674,4.356616697495527,-0.9133084526933757,19.694781893286883,0.4783542857142857,-1.2663371428571408,1.5,6.002000000000001,5.5,1.5040000000000013,1
water,b1,2,0.705038857142856,-16.788774647999976,-0.03316730748045558,1.8709094529766281,-25.926704495227256,0.005770880548023851,-0.4288721483773677,8.13260354137997,-1.0015108571428428,36.11141829485662,0.4835771428571428,-1.4106057142857087,1.5,5.500999999999998,6.0000000000000036,1.5,1
water,b1,3,0.7988834285714291,-30.582303796571438,-0.03760407592406646,3.2070736853538673,-67.93128977506613,0.0008651195862959182,-0.12651660731737543,4.343275480521116,-1.0478862857143003,53.49193469371504,0.45022285714285704,-1.4643628571428526,1.5,5.0,7.0,1.5,1
water,b1,4,0.8434125714285684,-44.93647520457126,-0.03244943627800583,3.7417478877691646,-107.39980742102274,0.005456456082515539,-0.7291552141351448,24.513615926000163,-0.8583000000000052,56.27925164285749,0.47787999999999986,-1.4760571428571372,1.5,5.5,6.000999999999998,1.5,1
water,b1,5,0.6561142857142783,-44.50086457142806,-0.03509704936590672,5.067277175381363,-182.43716128556176,0.006065301799616578,-0.9791092985421685,39.69484682052001,-0.8847251428571317,70.87459529314197,0.48549142857142846,-1.2129228571428552,1.5,5.503,6.009,1.5,1
water,b1,6,0.7281720000000024,-59.93683521542875,-0.030081172161202548,5.231260741610306,-226.9852236295565,-0.00116939060939048,0.16098978616809417,-4.65340514960472,-0.0323154285714269,3.225553087999841,0.4666514285714285,-1.2225114285714251,1.5,5.0,6.0,1.5,1
water,b2,1,0.3610051428571428,-0.3269127502857143,-0.003235757575757599,0.042548789783550006,0.3103203949457135,0.015787284805485684,-0.3459294823767544,2.080428925558536,-0.784427761743531,9.504200252844939,0.48031428571428564,-1.0506428571428579,1.5,4.5,5.0009999999999994,1.5010000000000012,1
water,b2,2,0.5894131428571421,-8.45610043257142,-0.028088098568097776,1.084864989037602,-9.996666996278616,0.0027149863042581946,-0.1736166949246773,2.8558041050130774,-0.7871782857142899,20.955836746285833,0.5121542857142857,-1.0557228571428536,1.5,5.0,6.504000000000001,1.5,1
water,b2,3,0.7027503853159679,-20.348929827781536,-0.027374978354977212,1.8541230102163788,-30.923371412923213,-0.0019849819927971533,0.10305914132053144,-0.7476486808188466,-0.6763965714285831,28.103862123429064,0.4614742857142856,-1.0912457142857146,1.5009999999999977,4.5000000000000036,7.5,1.5,1
water,b2,4,0.41609714285714205,-18.301828217142823,-0.028930760667902587,2.808207492438902,-67.68445730353682,0.0029817382617372337,-0.3683315320564064,11.419327925157104,-0.6967554285714181,39.10917457599941,0.4801885714285714,-0.9331257142857127,1.5,5.5,6.0,1.5,1
water,b2,5,0.5235994285714245,-30.666155249142612,-0.02400793526748252,3.0540861187294794,-96.65441927390965,0.013155720565793812,-1.8293198520915406,63.80067487847812,-0.9534508571428324,67.60436640114106,0.48629714285714276,-1.1762428571428585,1.5,6.500999999999998,5.503,1.5,1
water,b2,6,0.5932239999999961,-43.50713688914258,-0.03655490714101391,5.67644732266251,-219.8928304090204,0.00589883259597355,-1.0200488409416,44.25654741376238,-0.7566519999999752,64.79103360399785,0.4823714285714285,-1.138537142857138,1.5,5.509,6.0,1.5,1
water,b2,7,0.5759737142857109,-50.60346786171399,-0.03676606060607859,6.76323828502497,-310.58717418983264,0.0007854317111491804,-0.20239413701788228,12.525150850938967,-0.7589794285714353,75.99629301600065,0.4646685714285714,-1.030194285714283,1.5,5.0,6.5,1.5,1
water,b3,1,-0.5528205714285712,1.2028320297142845,-0.0286596039981779,0.5166034867484092,-1.864739836595784,0.00739014431560585,-0.24972888224525958,2.2839808981199075,-0.9305211428571449,15.880550118857185,0.5247599999999999,-1.3051885714285691,1.5,6.5009999999999994,6.501000000000001,1.5,1
water,b3,2,0.6876148571428531,-13.336597105142777,-0.034070451394034904,1.622293800722089,-18.819204176098783,0.015636063039738347,-0.9403780496675105,14.333036426680286,-1.0446348571428385,32.96358374514225,0.5008799999999999,-1.4423742857142836,1.5,6.004000000000001,5.500999999999998,1.5000000000000036,1
water,b3,3,0.8290777142857155,-27.998665373714335,-0.03903939393938374,2.9710687653672143,-56.06278900794979,0.001251066580478197,-0.1499032348693199,4.401927442095665,-0.9320657142857007,42.946830348570785,0.4832571428571427,-1.449839999999995,1.5,4.5,7.0,1.5,1
water,b3,4,0.6922857142857131,-33.445831999999946,-0.0373592007991996,3.93831634733254,-103.32680489067168,0.0031472984158702395,-0.4167158737491533,13.82626042976745,-0.7327702857142941,44.42210792685766,0.4602971428571428,-1.2846971428571388,1.5,5.5,6.0,1.5,1
