time_s,s1_flow_ml_min,s1_temp_c
0,0.054,30.4
0.5,0.047,30.5
1,0.041,30.5
1.5,0.048,30.6
2,0.056,30.6
2.5,0.053,30.6
3,0.058,30.6
3.5,0.06,30.7
4,0.059,30.7
4.5,0.059,30.7
5,0.057,30.7
5.5,0.055,30.7
6,0.049,30.7
6.5,0.045,30.8
7,0.041,30.8
7.5,0.043,30.8
8,0.051,30.8
8.5,0.048,30.9
9,0.044,30.9
9.5,0.039,30.9
10,0.033,30.9
10.5,0.026,31
11,0.027,31
11.5,0.034,31
12,0.037,31
12.5,0.04,31.1
13,0.04,31.1
13.5,0.038,31.1
14,0.037,31.1
14.5,0.029,31.1
15,0.019,31.1
15.5,-0.007,31.2
16,-0.042,31.2
16.5,-0.064,31.3
17,-0.092,31.3
17.5,-0.117,31.3
18,-0.168,31.4
18.5,-0.249,31.3
19,-0.416,31.1
19.5,-0.687,30.8
20,-1.031,30.3
20.5,-0.974,30
21,-0.507,29.9
21.5,-0.221,30
22,-0.109,30.2
22.5,-0.071,30.3
23,-0.057,30.5
23.5,-0.049,30.6
24,-0.05,30.7
24.5,-0.054,30.8
25,-0.048,30.9
25.5,-0.032,31
26,-0.033,31.1
26.5,-0.029,31.1
27,-0.005,31.2
27.5,0.007,31.3
28,-0.001,31.3
28.5,-0.027,31.4
29,-0.057,31.4
29.5,-0.076,31.5
30,-0.062,31.5
30.5,-0.034,31.5
31,-0.019,31.5
31.5,-0.015,31.6
32,-0.011,31.6
32.5,-0.007,31.7
33,0.003,31.7
33.5,0.017,31.7
34,0.021,31.8
34.5,0.023,31.8
35,0.027,31.8
35.5,0.034,31.8
36,0.039,31.8
36.5,0.037,31.8
37,0.038,31.8
37.5,0.05,31.8
38,0.056,31.8
38.5,0.058,31.8
39,0.055,31.8
39.5,0.055,31.8
40,0.058,31.7
40.5,0.062,31.7
41,0.067,31.7
41.5,0.072,31.6
42,0.076,31.7
42.5,0.075,31.6
43,0.081,31.6
43.5,0.081,31.6
44,0.081,31.5
44.5,0.079,31.5
45,0.074,31.5
45.5,0.072,31.5
46,0.058,31.5
46.5,0.076,31.5
47,0.076,31.5
47.5,0.073,31.5
48,0.069,31.5
48.5,0.057,31.4
49,0.054,31.5
49.5,0.051,31.5
50,0.058,31.5
50.5,0.061,31.5
51,0.057,31.5
51.5,0.071,31.5
52,0.074,31.5
52.5,0.083,31.5
53,0.085,31.5
53.5,0.083,31.4
54,0.081,31.5
54.5,0.07,31.4
55,0.074,31.4
55.5,0.069,31.4
56,0.082,31.4
56.5,0.085,31.4
57,0.08,31.4
57.5,0.076,31.4
58,0.068,31.4
58.5,0.067,31.4
59,0.064,31.4
59.5,0.064,31.5
60,0.064,31.5
60.5,0.063,31.5
61,0.077,31.5
61.5,0.08,31.5
62,0.084,31.5
62.5,0.083,31.5
63,0.08,31.4
63.5,0.079,31.4
64,0.075,31.4
64.5,0.076,31.4
65,0.072,31.4
65.5,0.086,31.4
66,0.087,31.4
66.5,0.071,31.4
67,0.072,31.4
67.5,0.064,31.4
68,0.059,31.4
68.5,0.049,31.5
69,0.039,31.5
69.5,0.047,31.5
70,0.061,31.6
70.5,0.072,31.6
71,0.076,31.6
71.5,0.077,31.5
72,0.076,31.6
72.5,0.066,31.6
73,0.066,31.5
73.5,0.064,31.5
74,0.063,31.6
74.5,0.059,31.6
75,0.054,31.6
75.5,0.06,31.6
76,0.059,31.6
76.5,0.057,31.6
77,0.055,31.6
77.5,0.045,31.6
78,0.037,31.7
78.5,0.03,31.7
79,0.038,31.7
79.5,0.044,31.7
80,0.058,31.8
80.5,0.054,31.7
81,0.052,31.8
81.5,0.057,31.8
82,0.055,31.7
82.5,0.054,31.8
83,0.047,31.8
83.5,0.042,31.8
84,0.045,31.8
84.5,0.042,31.8
85,0.045,31.8
85.5,0.048,31.8
86,0.042,31.8
86.5,0.04,31.8
87,0.037,31.9
87.5,0.035,31.9
88,0.024,31.9
88.5,0.03,31.9
89,0.033,32
89.5,0.032,32
90,0.033,32
90.5,0.032,32
91,0.035,32
91.5,0.033,32
