time_s,s1_flow_ml_min,s1_temp_c
0,0.049,32.2
0.5,0.041,32.2
1,0.042,32.2
1.5,0.036,32.2
2,0.029,32.2
2.5,0.04,32.2
3,0.037,32.2
3.5,0.034,32.2
4,0.032,32.2
4.5,0.028,32.2
5,0.021,32.2
5.5,0.017,32.2
6,0.024,32.2
6.5,0.022,32.3
7,0.028,32.3
7.5,0.03,32.3
8,0.028,32.3
8.5,0.031,32.3
9,0.03,32.3
9.5,0.031,32.3
10,0.027,32.3
10.5,0.026,32.3
11,0.021,32.3
11.5,0.015,32.3
12,0.007,32.3
12.5,-0.031,32.3
13,-0.089,32.3
13.5,-0.17,32.4
14,-0.276,32.3
14.5,-0.374,32.1
15,-0.358,31.8
15.5,-0.231,31.7
16,-0.124,31.7
16.5,-0.068,31.7
17,-0.048,31.8
17.5,-0.048,31.8
18,-0.052,31.9
18.5,-0.05,32
19,-0.047,32
19.5,-0.028,32.1
20,-0.018,32.1
20.5,-0.017,32.2
21,-0.025,32.2
21.5,-0.033,32.2
22,-0.026,32.3
22.5,-0.025,32.3
23,-0.033,32.4
23.5,-0.038,32.4
24,-0.042,32.4
24.5,-0.042,32.4
25,-0.038,32.4
25.5,-0.031,32.4
26,-0.036,32.4
26.5,-0.035,32.5
27,-0.029,32.4
27.5,-0.02,32.5
28,-0.008,32.5
28.5,-0.001,32.5
29,0.007,32.5
29.5,0.014,32.6
30,0.021,32.6
30.5,0.023,32.6
31,0.024,32.5
31.5,0.03,32.5
32,0.035,32.5
32.5,0.037,32.5
33,0.036,32.5
33.5,0.036,32.5
34,0.032,32.4
34.5,0.028,32.4
35,0.031,32.4
35.5,0.042,32.4
36,0.058,32.4
36.5,0.061,32.3
37,0.07,32.3
37.5,0.073,32.2
38,0.07,32.1
38.5,0.077,32.1
39,0.07,32.1
39.5,0.07,32
40,0.068,32
40.5,0.063,32
41,0.069,31.9
41.5,0.067,31.9
42,0.068,31.9
42.5,0.062,31.8
43,0.059,31.8
43.5,0.054,31.8
44,0.041,31.8
44.5,0.041,31.8
45,0.055,31.8
45.5,0.069,31.8
46,0.068,31.8
46.5,0.068,31.8
47,0.073,31.8
47.5,0.073,31.7
48,0.077,31.7
48.5,0.075,31.6
49,0.079,31.6
49.5,0.068,31.6
50,0.062,31.6
50.5,0.082,31.6
51,0.073,31.6
51.5,0.071,31.5
52,0.068,31.5
52.5,0.056,31.5
53,0.058,31.5
53.5,0.05,31.5
54,0.059,31.5
54.5,0.068,31.5
55,0.069,31.5
55.5,0.071,31.5
56,0.073,31.5
56.5,0.078,31.5
57,0.076,31.4
57.5,0.076,31.4
58,0.074,31.4
58.5,0.064,31.4
59,0.074,31.4
59.5,0.075,31.4
60,0.081,31.3
60.5,0.078,31.3
61,0.074,31.3
61.5,0.069,31.3
62,0.062,31.3
62.5,0.058,31.3
63,0.052,31.3
63.5,0.052,31.3
64,0.07,31.3
64.5,0.065,31.3
65,0.073,31.3
65.5,0.066,31.3
66,0.072,31.3
66.5,0.073,31.3
67,0.069,31.3
67.5,0.064,31.3
68,0.059,31.3
68.5,0.06,31.3
69,0.061,31.3
69.5,0.061,31.3
70,0.06,31.3
70.5,0.054,31.3
71,0.058,31.3
71.5,0.048,31.3
72,0.044,31.3
72.5,0.041,31.3
73,0.039,31.3
73.5,0.051,31.3
74,0.054,31.4
74.5,0.058,31.4
75,0.06,31.3
75.5,0.062,31.3
76,0.061,31.3
76.5,0.057,31.3
77,0.059,31.3
77.5,0.051,31.3
78,0.055,31.3
78.5,0.049,31.3
79,0.037,31.3
79.5,0.043,31.3
80,0.047,31.3
80.5,0.049,31.3
81,0.043,31.3
81.5,0.034,31.3
82,0.029,31.4
82.5,0.023,31.4
83,0.031,31.4
83.5,0.029,31.4
84,0.033,31.4
84.5,0.031,31.5
85,0.033,31.5
85.5,0.038,31.5
86,0.035,31.5
86.5,0.035,31.5
87,0.03,31.5
87.5,0.021,31.5
88,0.016,31.5
88.5,0.02,31.6
89,0.028,31.6
89.5,0.029,31.6
90,0.026,31.6
90.5,0.025,31.6
91,0.019,31.6
91.5,0.013,31.6
92,0.003,31.6
92.5,0.003,31.7
93,0.006,31.7
93.5,-0.002,31.7
94,-0.016,31.7
94.5,-0.048,31.8
95,-0.122,31.8
95.5,-0.255,31.8
96,-0.388,31.6
96.5,-0.38,31.3
97,-0.185,31.1
97.5,-0.078,31.1
98,-0.04,31.2
98.5,-0.011,31.3
99,0,31.4
99.5,-0.01,31.4
100,-0.019,31.5
100.5,-0.044,31.6
101,-0.063,31.7
101.5,-0.06,31.7
102,-0.044,31.7
102.5,-0.03,31.7
103,-0.031,31.8
103.5,-0.042,31.8
104,-0.048,31.8
104.5,-0.047,31.9
105,-0.041,31.9
105.5,-0.034,31.9
106,-0.028,31.9
106.5,-0.024,31.9
107,-0.02,32
107.5,-0.016,32
108,-0.019,32
108.5,-0.015,32.1
109,-0.004,32.1
109.5,0.001,32.1
110,0.006,32.1
110.5,0.01,32.1
111,0.011,32.1
111.5,0.02,32.1
112,0.023,32.2
112.5,0.024,32.2
113,0.028,32.1
113.5,0.03,32.1
114,0.039,32.1
114.5,0.047,32.1
115,0.049,32.1
115.5,0.062,32
116,0.063,32
116.5,0.062,32
117,0.056,31.9
117.5,0.052,31.8
118,0.073,31.8
118.5,0.068,31.7
119,0.068,31.7
119.5,0.06,31.7
120,0.054,31.7
120.5,0.049,31.6
121,0.043,31.6
121.5,0.057,31.6
122,0.056,31.6
122.5,0.059,31.6
123,0.068,31.6
123.5,0.065,31.5
124,0.072,31.5
124.5,0.072,31.5
125,0.074,31.5
125.5,0.067,31.4
126,0.065,31.4
126.5,0.062,31.4
127,0.062,31.4
127.5,0.073,31.4
128,0.077,31.3
128.5,0.074,31.3
129,0.068,31.3
129.5,0.063,31.3
130,0.06,31.3
130.5,0.06,31.3
131,0.06,31.3
131.5,0.062,31.3
132,0.061,31.3
132.5,0.075,31.3
133,0.074,31.2
133.5,0.079,31.2
134,0.078,31.2
134.5,0.076,31.2
135,0.073,31.2
135.5,0.069,31.1
136,0.067,31.1
136.5,0.07,31.2
137,0.078,31.1
137.5,0.081,31.1
138,0.066,31.1
138.5,0.069,31.1
139,0.058,31.1
139.5,0.053,31.1
140,0.042,31.1
140.5,0.041,31.1
141,0.058,31.2
141.5,0.067,31.2
142,0.077,31.2
142.5,0.078,31.1
143,0.078,31.1
143.5,0.08,31.1
144,0.072,31.1
144.5,0.072,31.1
145,0.065,31
145.5,0.063,31.1
146,0.066,31.1
146.5,0.067,31.1
147,0.072,31.1
147.5,0.066,31
148,0.064,31
148.5,0.06,31
149,0.053,31.1
149.5,0.042,31.1
150,0.039,31.1
150.5,0.048,31.1
151,0.058,31.1
151.5,0.071,31.1
152,0.071,31.1
152.5,0.066,31.1
153,0.074,31.1
153.5,0.069,31.1
154,0.067,31.1
154.5,0.06,31.1
155,0.058,31.1
155.5,0.054,31.1
156,0.055,31.1
156.5,0.06,31.1
157,0.056,31.1
157.5,0.055,31.1
158,0.047,31.1
158.5,0.034,31.1
159,0.032,31.1
159.5,0.027,31.2
160,0.032,31.2
160.5,0.035,31.2
161,0.03,31.2
161.5,0.034,31.3
162,0.034,31.3
162.5,0.04,31.3
163,0.038,31.3
163.5,0.035,31.3
164,0.037,31.3
164.5,0.033,31.3
165,0.035,31.3
165.5,0.028,31.4
166,0.03,31.4
166.5,0.028,31.4
167,0.028,31.4
167.5,0.03,31.4
168,0.026,31.4
168.5,0.027,31.4
169,0.024,31.5
169.5,0.021,31.5
170,0.026,31.5
170.5,0.027,31.5
171,0.027,31.5
171.5,0.026,31.5
172,0.027,31.5
172.5,0.029,31.5
173,0.027,31.6
173.5,0.024,31.5
174,0.016,31.6
174.5,0.01,31.6
175,-0.016,31.6
175.5,-0.042,31.6
176,-0.069,31.7
176.5,-0.114,31.7
177,-0.14,31.7
177.5,-0.127,31.7
178,-0.088,31.6
178.5,-0.052,31.6
179,-0.027,31.7
179.5,-0.019,31.8
180,-0.017,31.8
180.5,-0.021,31.8
181,-0.024,31.9
181.5,-0.029,31.9
182,-0.035,31.9
182.5,-0.039,32
183,-0.035,32
183.5,-0.031,32
184,-0.032,32
184.5,-0.038,32.1
185,-0.042,32.1
185.5,-0.043,32.1
186,-0.047,32.1
186.5,-0.048,32.1
187,-0.048,32.1
187.5,-0.043,32.1
188,-0.038,32.1
188.5,-0.028,32.1
189,-0.018,32.2
189.5,-0.014,32.2
190,-0.007,32.2
190.5,-0.003,32.2
191,0,32.2
191.5,0.006,32.3
192,0.014,32.3
192.5,0.022,32.3
193,0.031,32.3
193.5,0.034,32.3
194,0.039,32.3
194.5,0.035,32.2
195,0.044,32.2
195.5,0.048,32.2
196,0.048,32.1
196.5,0.049,32.1
197,0.046,32.1
197.5,0.047,32.1
198,0.053,32
198.5,0.059,32
199,0.066,32
199.5,0.06,31.9
200,0.069,31.9
200.5,0.066,31.8
201,0.068,31.8
201.5,0.073,31.7
202,0.074,31.7
202.5,0.068,31.6
203,0.063,31.6
203.5,0.064,31.6
204,0.061,31.6
204.5,0.068,31.6
205,0.067,31.5
205.5,0.056,31.5
206,0.053,31.5
206.5,0.038,31.5
207,0.049,31.6
207.5,0.068,31.6
208,0.064,31.6
208.5,0.063,31.5
209,0.069,31.5
209.5,0.079,31.5
210,0.081,31.4
210.5,0.081,31.4
211,0.093,31.4
211.5,0.085,31.3
212,0.095,31.3
212.5,0.085,31.2
213,0.08,31.2
213.5,0.077,31.2
214,0.082,31.2
214.5,0.081,31.2
215,0.071,31.2
215.5,0.066,31.2
216,0.059,31.2
216.5,0.051,31.2
217,0.053,31.3
217.5,0.057,31.3
218,0.062,31.3
218.5,0.062,31.3
219,0.068,31.3
219.5,0.075,31.3
220,0.074,31.2
220.5,0.079,31.2
221,0.077,31.2
221.5,0.077,31.2
222,0.071,31.1
222.5,0.071,31.2
223,0.074,31.2
223.5,0.068,31.2
224,0.071,31.2
224.5,0.066,31.2
225,0.063,31.2
225.5,0.058,31.2
226,0.045,31.2
226.5,0.051,31.2
227,0.053,31.2
227.5,0.064,31.3
228,0.072,31.2
228.5,0.074,31.2
229,0.076,31.2
229.5,0.074,31.2
230,0.075,31.2
230.5,0.069,31.2
231,0.069,31.1
231.5,0.065,31.2
232,0.056,31.2
232.5,0.062,31.2
233,0.057,31.2
233.5,0.063,31.2
234,0.062,31.2
234.5,0.057,31.2
235,0.048,31.2
235.5,0.038,31.2
236,0.036,31.3
236.5,0.039,31.3
237,0.045,31.3
237.5,0.05,31.3
238,0.047,31.3
238.5,0.055,31.3
239,0.056,31.3
239.5,0.055,31.3
240,0.05,31.3
240.5,0.041,31.3
241,0.043,31.4
241.5,0.036,31.3
242,0.041,31.4
242.5,0.04,31.4
243,0.041,31.4
243.5,0.045,31.4
244,0.042,31.4
244.5,0.039,31.4
245,0.03,31.5
245.5,0.024,31.5
246,0.025,31.5
246.5,0.031,31.5
247,0.036,31.5
247.5,0.036,31.5
248,0.04,31.5
248.5,0.042,31.6
249,0.038,31.5
249.5,0.036,31.6
250,0.031,31.6
250.5,0.03,31.6
251,0.028,31.6
251.5,0.027,31.6
252,0.029,31.6
252.5,0.031,31.7
253,0.035,31.7
253.5,0.029,31.7
254,0.021,31.7
254.5,0.004,31.7
255,-0.034,31.7
255.5,-0.087,31.8
256,-0.11,31.8
256.5,-0.149,31.8
257,-0.167,31.8
257.5,-0.131,31.7
258,-0.09,31.7
258.5,-0.062,31.7
259,-0.082,31.7
259.5,-0.104,31.7
260,-0.04,31.8
260.5,-0.018,31.8
261,-0.018,31.9
261.5,-0.007,31.9
262,0.015,32
262.5,0.014,32
263,-0.002,32.1
263.5,-0.017,32.1
264,-0.035,32.2
264.5,-0.048,32.2
265,-0.043,32.2
265.5,-0.034,32.2
266,-0.032,32.2
266.5,-0.025,32.3
267,-0.011,32.3
267.5,-0.006,32.3
268,-0.011,32.4
268.5,-0.016,32.4
269,-0.018,32.4
269.5,-0.005,32.4
270,0.004,32.4
270.5,0.006,32.4
271,0.018,32.5
271.5,0.032,32.5
272,0.032,32.5
272.5,0.029,32.5
273,0.026,32.4
273.5,0.026,32.4
274,0.019,32.4
274.5,0.014,32.4
275,0.02,32.4
275.5,0.027,32.4
276,0.041,32.4
276.5,0.047,32.4
277,0.056,32.4
277.5,0.058,32.3
278,0.066,32.2
278.5,0.066,32.2
279,0.061,32.1
279.5,0.066,32.1
280,0.057,32.1
280.5,0.062,32
281,0.066,32
281.5,0.067,31.9
282,0.066,31.9
282.5,0.06,31.9
283,0.06,31.9
283.5,0.052,31.8
284,0.047,31.8
284.5,0.046,31.9
285,0.05,31.9
285.5,0.065,31.9
286,0.066,31.8
286.5,0.073,31.8
287,0.077,31.8
287.5,0.069,31.8
288,0.073,31.7
288.5,0.069,31.7
289,0.07,31.7
289.5,0.065,31.6
290,0.065,31.6
290.5,0.065,31.6
291,0.065,31.6
291.5,0.069,31.6
292,0.062,31.6
