time_s,s1_flow_ml_min,s1_temp_c
0,0.076,31.1
0.5,0.07,31.1
1,0.068,31.1
1.5,0.062,31.1
2,0.054,31.1
2.5,0.052,31.2
3,0.058,31.2
3.5,0.074,31.2
4,0.076,31.2
4.5,0.075,31.2
5,0.081,31.2
5.5,0.074,31.2
6,0.078,31.2
6.5,0.072,31.2
7,0.07,31.2
7.5,0.065,31.2
8,0.066,31.2
8.5,0.064,31.2
9,0.062,31.3
9.5,0.07,31.3
10,0.066,31.3
10.5,0.052,31.3
11,0.048,31.3
11.5,0.041,31.4
12,0.041,31.4
12.5,0.045,31.4
13,0.053,31.4
13.5,0.052,31.5
14,0.047,31.5
14.5,0.054,31.5
15,0.053,31.5
15.5,0.055,31.5
16,0.049,31.5
16.5,0.044,31.5
17,0.045,31.6
17.5,0.04,31.6
18,0.045,31.6
18.5,0.039,31.6
19,0.037,31.6
19.5,0.038,31.6
20,0.034,31.7
20.5,0.036,31.7
21,0.028,31.7
21.5,0.027,31.7
22,0.027,31.8
22.5,0.03,31.8
23,0.035,31.8
23.5,0.034,31.8
24,0.039,31.8
24.5,0.037,31.8
25,0.035,31.8
25.5,0.033,31.9
26,0.028,31.9
26.5,0.032,31.9
27,0.027,31.9
27.5,0.029,31.9
28,0.025,31.9
28.5,0.021,32
29,0.023,32
29.5,0.021,32
30,0.02,32
30.5,0.01,32
31,-0.004,32.1
31.5,-0.02,32.1
32,-0.047,32.2
32.5,-0.107,32.2
33,-0.209,32.2
33.5,-0.352,32
34,-0.527,31.7
34.5,-0.564,31.4
35,-0.352,31.2
35.5,-0.16,31.2
36,-0.089,31.3
36.5,-0.066,31.4
37,-0.05,31.5
37.5,-0.036,31.6
38,-0.032,31.7
38.5,-0.036,31.8
39,-0.038,31.9
39.5,-0.041,31.9
40,-0.045,32
40.5,-0.041,32
41,-0.041,32.1
41.5,-0.042,32.1
42,-0.04,32.2
42.5,-0.037,32.2
43,-0.039,32.3
43.5,-0.049,32.3
44,-0.046,32.3
44.5,-0.039,32.3
45,-0.031,32.4
45.5,-0.022,32.4
46,-0.018,32.4
46.5,-0.017,32.5
47,-0.009,32.5
47.5,-0.005,32.5
48,0.004,32.6
48.5,0.006,32.6
49,0.011,32.6
49.5,0.017,32.6
50,0.015,32.6
50.5,0.02,32.7
51,0.036,32.7
51.5,0.041,32.7
52,0.039,32.7
52.5,0.041,32.6
53,0.047,32.6
53.5,0.049,32.6
54,0.057,32.6
54.5,0.059,32.6
55,0.054,32.5
55.5,0.058,32.5
56,0.056,32.5
56.5,0.059,32.4
57,0.058,32.4
57.5,0.062,32.4
58,0.06,32.4
58.5,0.056,32.3
59,0.051,32.3
59.5,0.049,32.3
60,0.06,32.3
60.5,0.064,32.3
61,0.057,32.3
61.5,0.067,32.3
62,0.071,32.3
62.5,0.078,32.2
63,0.078,32.2
63.5,0.081,32.2
64,0.084,32.1
64.5,0.079,32.1
65,0.081,32.1
65.5,0.074,32
66,0.07,32.1
66.5,0.065,32.1
67,0.064,32.1
67.5,0.07,32.1
68,0.061,32.1
68.5,0.058,32.1
69,0.052,32.1
69.5,0.052,32.1
70,0.059,32.1
70.5,0.057,32.1
71,0.062,32.1
71.5,0.07,32.1
72,0.077,32.1
72.5,0.079,32.1
73,0.07,32.1
73.5,0.068,32.1
74,0.067,32
74.5,0.069,32.1
75,0.069,32
75.5,0.065,32
76,0.064,32
76.5,0.066,32.1
77,0.066,32.1
77.5,0.063,32.1
78,0.061,32.1
78.5,0.056,32.1
79,0.051,32.1
79.5,0.061,32.1
80,0.062,32.1
80.5,0.074,32.1
81,0.075,32.1
81.5,0.069,32.1
82,0.078,32
82.5,0.074,32
83,0.079,32
83.5,0.072,32
84,0.065,32
84.5,0.066,32
85,0.067,32.1
85.5,0.07,32
86,0.063,32
86.5,0.06,32
87,0.06,32
87.5,0.05,32.1
88,0.046,32.1
88.5,0.033,32.1
89,0.038,32.1
89.5,0.048,32.2
90,0.045,32.2
90.5,0.055,32.2
91,0.055,32.2
91.5,0.062,32.2
92,0.062,32.2
92.5,0.057,32.2
93,0.054,32.2
93.5,0.045,32.2
94,0.05,32.2
94.5,0.051,32.2
95,0.051,32.2
95.5,0.042,32.2
96,0.044,32.2
96.5,0.046,32.2
97,0.043,32.2
