time_s,0.0_ml_min,0.1_ml_min,0.2_ml_min,0.3_ml_min,0.4_ml_min
793.5,0.042,0.059,0.04,0.06,0.043
794,0.039,0.07,0.04,0.073,0.043
794.5,0.044,0.075,0.035,0.075,0.04
795,0.043,0.081,0.027,0.07,0.05
795.5,0.041,0.078,0.023,0.073,0.053
796,0.043,0.076,0.01,0.069,0.051
796.5,0.039,0.065,0.008,0.073,0.057
797,0.035,0.052,0.014,0.068,0.055
797.5,0.028,0.049,0.021,0.066,0.061
798,0.024,0.038,0.026,0.066,0.059
798.5,0.027,0.046,0.024,0.066,0.057
799,0.033,0.059,0.018,0.069,0.056
799.5,0.037,0.066,-0.017,0.061,0.051
800,0.037,0.063,-0.087,0.059,0.053
800.5,0.037,0.05,-0.18,0.053,0.052
801,0.038,0.044,-0.219,0.048,0.051
801.5,0.035,0.035,-0.181,0.061,0.044
802,0.034,0.033,-0.118,0.061,0.042
802.5,0.031,0.039,-0.08,0.068,0.046
803,0.029,0.047,-0.068,0.074,0.041
803.5,0.029,0.051,-0.065,0.078,0.038
804,0.027,0.048,-0.058,0.077,0.036
804.5,0.028,0.056,-0.04,0.071,0.036
805,0.024,0.052,-0.03,0.078,0.039
805.5,0.026,0.043,-0.025,0.074,0.039
806,0.023,0.04,-0.022,0.075,0.04
806.5,0.02,0.037,-0.02,0.067,0.04
807,0.012,0.039,-0.024,0.062,0.04
807.5,0.003,0.035,-0.031,0.066,0.039
808,-0.006,0.033,-0.017,0.073,0.036
808.5,-0.003,0.036,-0.018,0.075,0.038
809,-0.014,0.039,-0.025,0.068,0.036
809.5,-0.045,0.04,-0.03,0.059,0.036
810,-0.09,0.033,-0.032,0.055,0.035
810.5,-0.142,0.029,-0.028,0.044,0.033
811,-0.176,0.023,-0.019,0.055,0.031
811.5,-0.173,0.019,-0.016,0.054,0.028
812,-0.143,0.027,-0.016,0.058,0.03
812.5,-0.104,0.03,-0.016,0.062,0.031
813,-0.074,0.032,-0.017,0.063,0.028
813.5,-0.062,0.031,-0.015,0.068,0.025
814,-0.065,0.037,-0.014,0.062,0.024
814.5,-0.063,0.039,-0.005,0.066,0.028
815,-0.06,0.034,0.002,0.06,0.027
815.5,-0.056,0.03,0.006,0.053,0.029
816,-0.057,0.025,0.013,0.052,0.028
816.5,-0.051,0.02,0.014,0.045,0.027
817,-0.043,0.017,0.031,0.049,0.029
817.5,-0.03,0.015,0.038,0.054,0.027
818,-0.017,0.015,0.035,0.05,0.026
818.5,-0.017,0.009,0.034,0.047,0.022
819,-0.022,-0.005,0.029,0.042,0.016
819.5,-0.026,-0.044,0.028,0.039,0.003
820,-0.038,-0.118,0.028,0.031,-0.029
820.5,-0.037,-0.219,0.04,0.026,-0.079
821,-0.029,-0.262,0.045,0.031,-0.128
821.5,-0.018,-0.222,0.044,0.034,-0.13
822,-0.006,-0.137,0.054,0.041,-0.099
822.5,0.002,-0.086,0.059,0.039,-0.058
823,0.009,-0.054,0.065,0.043,-0.034
823.5,0.007,-0.037,0.066,0.044,-0.023
824,0.007,-0.031,0.065,0.043,-0.021
824.5,0.008,-0.036,0.068,0.038,-0.027
825,0.009,-0.044,0.063,0.035,-0.031
825.5,0.007,-0.042,0.062,0.036,-0.042
826,0.006,-0.028,0.059,0.031,-0.042
826.5,0.004,-0.022,0.065,0.033,-0.042
827,0.011,-0.014,0.07,0.033,-0.041
827.5,0.019,0.01,0.066,0.033,-0.035
828,0.022,0.01,0.066,0.032,-0.032
828.5,0.024,-0.005,0.059,0.031,-0.028
829,0.023,-0.022,0.056,0.029,-0.032
829.5,0.027,-0.035,0.049,0.023,-0.029
830,0.036,-0.049,0.048,0.018,-0.025
830.5,0.045,-0.045,0.055,0.023,-0.027
831,0.055,-0.024,0.06,0.021,-0.027
831.5,0.057,-0.014,0.068,0.027,-0.031
832,0.06,-0.013,0.072,0.026,-0.031
832.5,0.057,-0.011,0.078,0.028,-0.029
833,0.057,-0.012,0.082,0.03,-0.024
833.5,0.058,-0.012,0.077,0.028,-0.013
834,0.061,-0.01,0.081,0.027,-0.007
834.5,0.064,0,0.075,0.024,-0.003
835,0.06,0.013,0.074,0.024,0.001
835.5,0.058,0.019,0.071,0.023,0.001
836,0.057,0.025,0.071,0.019,0.012
836.5,0.061,0.03,0.077,0.012,0.022
837,0.062,0.033,0.073,-0.012,0.024
837.5,0.06,0.034,0.071,-0.046,0.03
838,0.065,0.037,0.063,-0.08,0.032
838.5,0.068,0.039,0.057,-0.111,0.038
839,0.075,0.035,0.053,-0.122,0.042
839.5,0.08,0.034,0.043,-0.098,0.039
840,0.075,0.034,0.053,-0.072,0.043
840.5,0.076,0.043,0.056,-0.058,0.045
841,0.076,0.046,0.065,-0.053,0.051
841.5,0.074,0.047,0.069,-0.047,0.047
842,0.07,0.051,0.068,-0.049,0.045
842.5,0.065,0.049,0.07,-0.044,0.044
843,0.068,0.053,0.068,-0.039,0.043
843.5,0.071,0.055,0.07,-0.036,0.052
844,0.073,0.055,0.068,-0.029,0.055
844.5,0.069,0.059,0.066,-0.027,0.06
845,0.062,0.057,0.063,-0.024,0.06
845.5,0.058,0.061,0.059,-0.025,0.064
846,0.055,0.058,0.064,-0.021,0.067
846.5,0.06,0.056,0.066,-0.014,0.068
847,0.058,0.06,0.065,-0.018,0.07
847.5,0.06,0.058,0.063,-0.028,0.065
848,0.069,0.057,0.056,-0.034,0.065
848.5,0.07,0.053,0.054,-0.039,0.066
849,0.075,0.05,0.046,-0.042,0.058
849.5,0.075,0.051,0.045,-0.045,0.076
850,0.079,0.055,0.058,-0.044,0.071
850.5,0.075,0.056,0.066,-0.037,0.07
851,0.074,0.056,0.07,-0.03,0.065
851.5,0.076,0.065,0.07,-0.025,0.058
852,0.069,0.069,0.075,-0.02,0.052
852.5,0.072,0.076,0.072,-0.014,0.048
853,0.074,0.079,0.07,-0.009,0.056
853.5,0.075,0.075,0.069,0,0.055
854,0.075,0.075,0.06,0.01,0.062
854.5,0.067,0.071,0.063,0.021,0.067
855,0.063,0.069,0.063,0.02,0.063
855.5,0.056,0.066,0.059,0.026,0.071
856,0.054,0.064,0.064,0.034,0.066
856.5,0.058,0.069,0.064,0.038,0.066
857,0.065,0.065,0.06,0.042,0.062
857.5,0.073,0.067,0.05,0.041,0.058
858,0.07,0.063,0.047,0.043,0.056
858.5,0.077,0.058,0.041,0.034,0.056
859,0.076,0.055,0.04,0.032,0.064
859.5,0.076,0.059,0.047,0.03,0.067
860,0.072,0.068,0.047,0.044,0.067
860.5,0.066,0.066,0.051,0.055,0.064
861,0.065,0.072,0.05,0.058,0.053
861.5,0.061,0.076,0.052,0.064,0.053
862,0.065,0.078,0.053,0.066,0.044
862.5,0.069,0.079,0.052,0.067,0.037
863,0.072,0.077,0.047,0.07,0.047
863.5,0.073,0.085,0.042,0.063,0.061
864,0.064,0.084,0.044,0.066,0.068
864.5,0.061,0.082,0.04,0.061,0.074
865,0.05,0.078,0.041,0.063,0.084
865.5,0.039,0.072,0.038,0.069,0.084
866,0.037,0.077,0.035,0.063,0.083
866.5,0.048,0.076,0.038,0.062,0.075
867,0.061,0.076,0.035,0.056,0.063
867.5,0.064,0.076,0.033,0.056,0.06
868,0.068,0.066,0.029,0.05,0.053
868.5,0.07,0.058,0.025,0.043,0.07
869,0.067,0.056,0.026,0.043,0.078
869.5,0.064,0.059,0.031,0.052,0.067
870,0.055,0.064,0.035,0.064,0.066
870.5,0.051,0.066,0.036,0.068,0.056
871,0.046,0.07,0.034,0.072,0.053
871.5,0.045,0.067,0.036,0.066,0.045
872,0.046,0.074,0.034,0.065,0.041
872.5,0.047,0.072,0.035,0.067,0.057
873,0.053,0.071,0.031,0.061,0.065
873.5,0.049,0.066,0.03,0.065,0.068
874,0.044,0.058,0.029,0.066,0.07
874.5,0.035,0.056,0.028,0.058,0.077
875,0.026,0.058,0.025,0.069,0.068
875.5,0.021,0.061,0.022,0.067,0.058
876,0.028,0.064,0.024,0.067,0.059
876.5,0.037,0.06,0.023,0.061,0.052
877,0.039,0.056,0.017,0.057,0.055
877.5,0.04,0.049,0.014,0.053,0.054
878,0.042,0.044,0.01,0.042,0.053
878.5,0.042,0.036,0.01,0.042,0.061
879,0.045,0.035,0.011,0.054,0.058
879.5,0.041,0.04,-0.003,0.068,0.06
880,0.035,0.047,-0.032,0.069,0.05
880.5,0.033,0.056,-0.086,0.068,0.041
881,0.033,0.055,-0.155,0.074,0.035
881.5,0.035,0.057,-0.19,0.072,0.029
882,0.038,0.057,-0.172,0.075,0.045
882.5,0.042,0.05,-0.126,0.072,0.048
883,0.04,0.051,-0.083,0.068,0.049
883.5,0.035,0.047,-0.061,0.07,0.05
884,0.029,0.047,-0.051,0.065,0.053
884.5,0.019,0.042,-0.036,0.071,0.054
885,0.015,0.036,-0.029,0.069,0.048
885.5,0.019,0.04,-0.031,0.066,0.047
886,0.025,0.038,-0.031,0.065,0.042
886.5,0.03,0.038,-0.035,0.057,0.036
887,0.029,0.034,-0.039,0.054,0.033
887.5,0.021,0.032,-0.037,0.046,0.032
888,0.01,0.027,-0.034,0.045,0.038
888.5,-0.031,0.024,-0.032,0.057,0.038
889,-0.122,0.025,-0.03,0.063,0.039
889.5,-0.217,0.027,-0.035,0.066,0.035
890,-0.253,0.033,-0.04,0.065,0.031
890.5,-0.193,0.035,-0.043,0.078,0.027
891,-0.115,0.036,-0.042,0.078,0.021
891.5,-0.058,0.037,-0.037,0.081,0.017
892,-0.027,0.035,-0.032,0.073,0.025
892.5,-0.022,0.035,-0.026,0.07,0.029
893,-0.033,0.031,-0.025,0.069,0.035
893.5,-0.059,0.03,-0.022,0.062,0.035
894,-0.069,0.026,-0.017,0.062,0.037
894.5,-0.077,0.023,-0.015,0.067,0.035
895,-0.06,0.028,-0.012,0.061,0.034
895.5,-0.037,0.023,-0.01,0.062,0.028
896,-0.019,0.023,-0.006,0.055,0.025
896.5,-0.011,0.023,0.004,0.053,0.026
897,-0.01,0.018,0.007,0.042,0.024
897.5,-0.015,0.014,0.017,0.035,0.027
898,-0.028,0.01,0.028,0.04,0.027
898.5,-0.032,0.014,0.027,0.04,0.019
899,-0.034,0.011,0.034,0.045,-0.007
899.5,-0.04,0.004,0.034,0.045,-0.064
900,-0.036,-0.019,0.035,0.047,-0.142
900.5,-0.015,-0.065,0.042,0.049,-0.159
901,0.002,-0.145,0.044,0.046,-0.108
901.5,0.01,-0.203,0.048,0.046,-0.071
902,0.01,-0.2,0.048,0.04,-0.045
902.5,-0.005,-0.15,0.055,0.037,-0.024
903,-0.022,-0.097,0.056,0.023,-0.023
903.5,-0.037,-0.066,0.052,0.027,-0.038
904,-0.044,-0.052,0.056,0.033,-0.059
904.5,-0.038,-0.049,0.053,0.035,-0.04
905,-0.021,-0.037,0.056,0.04,-0.024
905.5,-0.003,-0.03,0.057,0.036,-0.011
906,0.009,-0.028,0.055,0.034,0.005
906.5,0.017,-0.028,0.055,0.028,0.026
907,0.023,-0.029,0.057,0.02,0.021
907.5,0.024,-0.031,0.064,0.017,0.019
908,0.029,-0.035,0.061,0.022,0.012
908.5,0.031,-0.039,0.068,0.027,-0.001
909,0.036,-0.037,0.073,0.034,-0.021
909.5,0.04,-0.04,0.075,0.041,-0.042
910,0.043,-0.04,0.078,0.041,-0.04
910.5,0.049,-0.041,0.079,0.036,-0.019
911,0.05,-0.042,0.088,0.035,-0.005
911.5,0.058,-0.042,0.083,0.026,-0.006
912,0.057,-0.035,0.078,0.018,-0.009
912.5,0.055,-0.026,0.07,0.011,-0.012
913,0.053,-0.017,0.064,0.012,-0.012
913.5,0.049,-0.017,0.068,0.021,-0.013
914,0.053,-0.016,0.069,0.024,-0.01
914.5,0.057,-0.012,0.068,0.028,-0.004
915,0.063,-0.009,0.065,0.026,0.002
915.5,0.066,0,0.057,0.021,0.008
916,0.065,0.008,0.054,0.006,0.012
916.5,0.067,0.016,0.052,-0.021,0.009
917,0.068,0.019,0.06,-0.073,0.016
917.5,0.072,0.018,0.059,-0.133,0.016
918,0.07,0.017,0.059,-0.165,0.018
918.5,0.069,0.018,0.068,-0.162,0.018
919,0.069,0.024,0.068,-0.124,0.016
919.5,0.064,0.029,0.078,-0.087,0.021
920,0.07,0.038,0.075,-0.068,0.029
920.5,0.068,0.046,0.074,-0.063,0.037
921,0.069,0.051,0.074,-0.057,0.039
921.5,0.065,0.057,0.066,-0.048,0.041
922,0.062,0.058,0.065,-0.033,0.049
922.5,0.059,0.059,0.063,-0.022,0.051
923,0.054,0.059,0.065,-0.02,0.062
923.5,0.055,0.058,0.069,-0.028,0.059
924,0.058,0.063,0.064,-0.022,0.059
924.5,0.064,0.06,0.062,-0.011,0.06
925,0.068,0.064,0.056,-0.017,0.059
925.5,0.066,0.061,0.057,-0.024,0.058
926,0.074,0.059,0.058,-0.029,0.053
926.5,0.075,0.053,0.062,-0.03,0.061
927,0.075,0.044,0.064,-0.021,0.059
927.5,0.076,0.046,0.064,-0.021,0.058
928,0.072,0.057,0.075,-0.02,0.056
928.5,0.072,0.065,0.075,-0.019,0.047
929,0.07,0.068,0.078,-0.025,0.049
929.5,0.07,0.071,0.08,-0.025,0.056
930,0.071,0.076,0.075,-0.02,0.061
930.5,0.07,0.073,0.074,-0.016,0.06
931,0.069,0.075,0.067,-0.011,0.062
931.5,0.062,0.071,0.066,-0.005,0.064
932,0.061,0.067,0.069,-0.002,0.064
932.5,0.055,0.068,0.068,-0.002,0.073
933,0.057,0.061,0.066,0.013,0.076
933.5,0.062,0.069,0.059,0.023,0.077
934,0.067,0.067,0.061,0.026,0.074
934.5,0.073,0.067,0.054,0.023,0.065
935,0.075,0.063,0.047,0.022,0.07
935.5,0.08,0.058,0.038,0.018,0.063
936,0.084,0.053,0.037,0.019,0.069
936.5,0.086,0.044,0.044,0.026,0.073
937,0.086,0.044,0.046,0.033,0.065
937.5,0.08,0.058,0.056,0.035,0.063
938,0.082,0.065,0.057,0.039,0.056
938.5,0.079,0.07,0.06,0.045,0.059
939,0.078,0.068,0.064,0.05,0.064
939.5,0.081,0.077,0.055,0.049,0.061
940,0.074,0.076,0.057,0.059,0.06
940.5,0.072,0.076,0.05,0.06,0.062
941,0.064,0.076,0.051,0.061,0.069
941.5,0.059,0.068,0.055,0.058,0.07
942,0.052,0.067,0.048,0.055,0.072
942.5,0.045,0.071,0.044,0.058,0.071
943,0.048,0.079,0.046,0.061,0.065
943.5,0.048,0.074,0.048,0.068,0.068
944,0.054,0.072,0.047,0.063,0.064
944.5,0.056,0.069,0.042,0.059,0.064
945,0.056,0.06,0.036,0.057,0.062
945.5,0.06,0.06,0.026,0.047,0.068
946,0.057,0.055,0.034,0.048,0.067
946.5,0.058,0.059,0.039,0.051,0.062
947,0.058,0.068,0.042,0.058,0.061
947.5,0.056,0.069,0.043,0.063,0.054
948,0.055,0.075,0.042,0.066,0.048
948.5,0.05,0.075,0.043,0.072,0.051
949,0.054,0.078,0.041,0.074,0.054
949.5,0.049,0.077,0.04,0.079,0.058
950,0.046,0.073,0.036,0.077,0.061
950.5,0.044,0.072,0.034,0.071,0.073
951,0.041,0.067,0.03,0.07,0.074
951.5,0.039,0.069,0.032,0.06,0.066
952,0.035,0.068,0.032,0.067,0.073
952.5,0.036,0.068,0.032,0.071,0.065
953,0.038,0.063,0.035,0.075,0.069
953.5,0.043,0.06,0.033,0.07,0.066
954,0.045,0.065,0.027,0.063,0.059
954.5,0.043,0.059,0.023,0.059,0.054
955,0.045,0.054,0.015,0.05,0.051
955.5,0.045,0.046,0.013,0.046,0.064
956,0.046,0.04,0.019,0.05,0.061
956.5,0.042,0.05,0.021,0.051,0.056
957,0.04,0.056,0.025,0.062,0.051
957.5,0.037,0.062,0.024,0.062,0.043
958,0.036,0.063,0.023,0.07,0.041
958.5,0.038,0.062,0.019,0.07,
959,0.032,0.063,0.002,0.069,
959.5,0.031,0.057,-0.042,0.065,
960,0.03,0.056,-0.111,0.062,
960.5,0.03,0.048,-0.179,0.062,
961,0.032,0.049,-0.226,0.057,
961.5,0.029,0.049,-0.229,0.059,
962,0.027,0.044,-0.157,0.062,
962.5,0.029,0.046,-0.084,0.067,
963,0.03,0.045,-0.057,0.068,
963.5,0.034,0.047,-0.054,0.061,
964,0.033,0.043,-0.051,0.06,
964.5,0.035,0.039,-0.043,0.054,
965,0.033,0.035,-0.035,0.048,
965.5,0.032,0.028,-0.045,0.044,
966,0.031,0.033,-0.042,0.05,
966.5,0.028,0.039,-0.044,0.065,
967,0.007,0.041,-0.033,0.066,
967.5,0.01,0.043,-0.02,0.074,
968,0.008,0.043,-0.03,0.076,
968.5,-0.005,0.047,-0.035,0.07,
969,-0.028,0.046,-0.04,0.07,
969.5,-0.057,0.046,-0.032,0.065,
970,-0.09,0.04,-0.022,0.067,
970.5,-0.123,0.037,-0.026,0.064,
971,-0.14,0.034,-0.021,0.066,
971.5,-0.13,0.03,-0.009,0.061,
972,-0.109,0.036,-0.011,0.059,
972.5,-0.089,0.039,-0.012,0.065,
973,-0.073,0.04,-0.014,0.059,
973.5,-0.063,0.036,-0.02,0.056,
974,-0.056,0.03,-0.019,0.048,
974.5,-0.051,0.025,-0.02,0.043,
975,-0.05,0.018,-0.024,0.041,
975.5,-0.045,0.021,-0.014,0.044,
976,-0.036,0.025,0.001,0.054,
976.5,-0.03,0.027,0.015,0.054,
977,-0.031,0.031,0.027,0.054,
977.5,-0.035,0.031,0.038,0.055,
978,-0.036,0.033,0.037,0.051,
978.5,-0.033,0.026,0.041,0.056,
979,-0.027,0.013,0.041,0.051,
979.5,-0.028,-0.028,0.043,0.049,
980,-0.033,-0.115,0.039,0.047,
980.5,-0.034,-0.192,0.039,0.041,
981,-0.033,-0.207,0.052,0.044,
981.5,-0.031,-0.178,0.057,0.038,
982,-0.029,-0.129,0.061,0.04,
982.5,-0.029,-0.088,0.059,0.04,
983,-0.027,-0.061,0.052,0.038,
983.5,-0.024,-0.062,0.05,0.035,
984,-0.018,-0.083,0.043,0.029,
984.5,-0.013,-0.073,0.047,0.027,
985,-0.008,-0.053,0.061,0.025,
985.5,-0.003,-0.04,0.072,0.034,
986,0.004,-0.031,0.077,0.038,
986.5,0.011,-0.023,0.075,0.033,
987,0.016,-0.023,0.079,0.038,
987.5,0.018,-0.021,0.074,0.036,
988,0.019,-0.024,0.077,0.037,
988.5,0.025,-0.034,0.071,0.034,
989,0.031,-0.044,0.065,0.033,
989.5,0.033,-0.039,0.064,0.031,
990,0.036,-0.022,0.062,0.029,
990.5,0.035,-0.018,0.065,0.031,
991,0.036,-0.016,0.069,0.027,
991.5,0.032,0.004,0.063,0.024,
992,0.046,0.006,0.063,0.027,
992.5,0.055,-0.003,0.055,0.023,
993,0.058,-0.022,0.053,0.023,
993.5,0.071,-0.046,0.043,0.017,
994,0.075,-0.053,0.039,0.015,
994.5,0.079,-0.037,0.056,0.012,
995,0.078,-0.015,0.064,0.016,
995.5,0.075,-0.007,0.071,0.02,
996,0.074,-0.003,0.072,0.02,
996.5,0.069,-0.001,0.075,0.021,
997,0.064,0.003,0.075,0.01,
997.5,0.067,0.015,0.073,-0.017,
998,0.071,0.021,0.07,-0.063,
998.5,0.072,0.024,0.066,-0.131,
999,0.064,0.026,0.071,-0.173,
999.5,0.063,0.03,0.069,-0.171,
1000,0.057,0.037,0.07,-0.129,
1000.5,0.054,0.038,0.071,-0.083,
1001,0.052,0.038,0.066,-0.048,
1001.5,0.053,0.045,0.066,-0.033,
1002,0.066,0.056,0.061,-0.031,
1002.5,0.073,0.059,0.056,-0.036,
1003,0.078,0.052,0.049,-0.041,
1003.5,0.079,0.05,0.052,-0.035,
1004,0.078,0.05,0.064,-0.022,
1004.5,0.079,0.057,0.067,-0.025,
1005,0.073,0.057,0.07,-0.029,
1005.5,0.075,0.064,0.073,-0.029,
1006,0.071,0.068,0.076,-0.034,
1006.5,0.07,0.064,0.077,-0.037,
1007,0.075,0.074,0.07,-0.038,
1007.5,0.073,0.074,0.077,-0.037,
1008,0.074,0.075,0.074,-0.036,
1008.5,0.07,0.072,0.075,-0.032,
1009,0.066,0.069,0.072,-0.028,
1009.5,0.06,0.066,0.067,-0.029,
1010,0.055,0.059,0.067,-0.024,
1010.5,0.051,0.065,0.061,-0.025,
1011,0.057,0.071,0.059,-0.023,
1011.5,0.072,0.071,0.055,-0.024,
1012,0.075,0.067,0.05,-0.025,
1012.5,0.079,0.056,0.046,-0.02,
1013,0.083,0.054,0.04,-0.012,
1013.5,0.08,0.045,0.053,-0.006,
1014,0.081,0.049,0.057,0.005,
1014.5,0.078,0.055,0.061,0.018,
1015,0.077,0.053,0.065,0.02,
1015.5,0.076,0.062,0.061,0.023,
1016,0.074,0.068,0.063,0.025,
1016.5,0.078,0.074,0.065,0.025,
1017,0.073,0.077,0.066,0.029,
1017.5,0.075,0.078,0.066,0.03,
1018,0.07,0.076,0.061,0.033,
1018.5,0.065,0.067,0.06,0.038,
1019,0.06,0.071,0.051,0.037,
1019.5,0.05,0.068,0.06,0.042,
1020,0.044,0.07,0.052,0.044,
1020.5,0.042,0.081,0.052,0.048,
1021,0.056,0.076,0.05,0.047,
1021.5,0.068,0.075,0.044,0.048,
1022,0.072,0.068,0.04,0.049,
1022.5,0.075,0.064,0.037,0.048,
1023,0.075,0.059,0.041,0.057,
1023.5,0.075,0.059,0.044,0.059,
1024,0.07,0.059,0.044,0.063,
1024.5,0.064,0.059,0.045,0.066,
1025,0.062,0.068,0.04,0.064,
1025.5,0.058,0.073,0.044,0.072,
1026,0.059,0.078,0.041,0.071,
1026.5,0.059,0.08,0.043,0.076,
1027,0.06,0.074,0.043,0.082,
1027.5,0.06,0.079,0.037,0.076,
1028,0.051,0.073,0.039,0.081,
1028.5,0.049,0.073,0.036,0.068,
1029,0.04,0.068,0.038,0.068,
1029.5,0.038,0.068,0.034,0.063,
1030,0.042,0.078,0.03,0.062,
1030.5,0.047,0.073,0.031,0.064,
1031,0.051,0.07,0.03,0.058,
1031.5,0.051,0.064,0.031,0.058,
1032,0.057,0.058,0.026,0.05,
1032.5,0.057,0.053,0.025,0.05,
1033,0.058,0.041,0.028,0.057,
1033.5,0.057,0.037,0.027,0.052,
1034,0.053,0.045,0.031,0.059,
1034.5,0.052,0.063,0.03,0.063,
1035,0.04,0.069,0.031,0.071,
1035.5,0.037,0.064,0.032,0.075,
1036,0.039,0.071,0.029,0.069,
1036.5,0.039,0.067,0.029,0.07,
1037,0.041,0.066,0.024,0.066,
1037.5,0.038,0.061,0.025,0.069,
1038,0.036,0.055,0.021,0.064,
1038.5,0.029,0.054,0.018,0.061,
1039,0.024,0.05,0.02,0.062,
1039.5,0.022,0.06,0.013,0.06,
1040,0.025,0.056,0.006,0.065,
1040.5,0.029,0.055,-0.014,0.058,
1041,0.031,0.05,-0.055,0.057,
1041.5,0.037,0.046,-0.108,0.053,
1042,0.04,0.041,-0.146,0.054,
1042.5,0.038,0.036,-0.161,0.06,
1043,0.036,0.034,-0.149,0.058,
1043.5,0.029,0.036,-0.118,0.064,
1044,0.026,0.041,-0.086,0.072,
1044.5,0.027,0.05,-0.071,0.076,
1045,0.025,0.048,-0.06,0.078,
1045.5,0.026,0.052,-0.054,0.072,
1046,0.026,0.051,-0.051,0.077,
1046.5,0.029,0.049,-0.043,0.071,
1047,0.027,0.046,-0.037,0.071,
1047.5,0.023,0.041,-0.034,0.067,
1048,0.016,0.042,-0.035,0.065,
1048.5,-0.014,0.041,-0.032,0.07,
1049,-0.008,0.04,,0.062,
1049.5,0.004,0.041,,0.065,
1050,-0.001,0.041,,0.061,
1050.5,-0.027,0.041,,0.057,
1051,-0.075,0.036,,0.051,
1051.5,-0.149,0.034,,0.038,
1052,-0.202,0.028,,0.037,
1052.5,-0.214,0.025,,0.043,
1053,-0.169,0.028,,0.049,
1053.5,-0.115,0.029,,0.055,
1054,-0.074,0.03,,0.053,
1054.5,-0.051,0.03,,0.06,
1055,-0.047,0.032,,0.061,
1055.5,-0.035,0.031,,0.064,
1056,-0.02,0.029,,0.06,
1056.5,-0.01,0.029,,0.054,
1057,-0.014,0.026,,0.052,
1057.5,-0.02,0.023,,0.048,
1058,-0.025,0.02,,0.057,
1058.5,-0.03,0.013,,0.049,
1059,-0.031,0.012,,0.049,
1059.5,-0.035,0.008,,0.051,
1060,-0.036,0.003,,0.046,
1060.5,-0.035,,,0.045,
1061,-0.039,,,0.038,
1061.5,-0.04,,,0.031,
1062,-0.04,,,0.035,
1062.5,-0.037,,,0.039,
1063,-0.032,,,0.042,
1063.5,-0.026,,,0.041,
1064,-0.021,,,0.046,
1064.5,-0.016,,,0.046,
1065,-0.01,,,0.043,
1065.5,0.001,,,0.042,
1066,0.01,,,0.034,
1066.5,0.011,,,0.037,
1067,0.011,,,0.008,
1067.5,0.015,,,,
1068,0.023,,,,
1068.5,0.029,,,,
1069,0.029,,,,
1069.5,0.029,,,,
1070,0.031,,,,
1070.5,0.042,,,,
1071,0.05,,,,
1071.5,0.058,,,,
1072,0.064,,,,
1072.5,0.061,,,,
1073,0.063,,,,
1073.5,0.062,,,,
1074,0.058,,,,
1074.5,0.061,,,,
1075,0.065,,,,
1075.5,0.068,,,,
1076,0.064,,,,
1076.5,0.06,,,,
1077,0.056,,,,
1077.5,0.059,,,,
1078,0.065,,,,
1078.5,0.062,,,,
1079,0.067,,,,
1079.5,0.072,,,,
1080,0.077,,,,
1080.5,0.081,,,,
1081,0.077,,,,
1081.5,0.08,,,,
1082,0.078,,,,
1082.5,0.078,,,,
1083,0.075,,,,
1083.5,0.072,,,,
1084,0.07,,,,
1084.5,0.074,,,,
1085,0.078,,,,
1085.5,0.075,,,,
1086,0.07,,,,
1086.5,0.065,,,,
1087,0.061,,,,
1087.5,0.069,,,,
1088,0.067,,,,
1088.5,0.068,,,,
1089,0.075,,,,
1089.5,0.08,,,,
1090,0.083,,,,
1090.5,0.081,,,,
1091,0.082,,,,
1091.5,0.079,,,,
1092,0.076,,,,
1092.5,0.076,,,,
1093,0.068,,,,
1093.5,0.068,,,,
1094,0.07,,,,
1094.5,0.075,,,,
1095,0.075,,,,
1095.5,0.068,,,,
1096,0.063,,,,
1096.5,0.053,,,,
1097,0.049,,,,
1097.5,0.057,,,,
1098,0.062,,,,
1098.5,0.069,,,,
1099,0.069,,,,
1099.5,0.075,,,,
1100,0.075,,,,
1100.5,0.076,,,,
1101,0.075,,,,
1101.5,0.07,,,,
1102,0.068,,,,
1102.5,0.064,,,,
1103,0.064,,,,
1103.5,0.065,,,,
1104,0.065,,,,
1104.5,0.065,,,,
1105,0.062,,,,
1105.5,0.061,,,,
1106,0.052,,,,
1106.5,0.044,,,,
1107,0.046,,,,
1107.5,0.046,,,,
1108,0.056,,,,
1108.5,0.058,,,,
1109,0.06,,,,
1109.5,0.062,,,,
1110,0.061,,,,
1110.5,0.061,,,,
1111,0.054,,,,
1111.5,0.052,,,,
1112,0.048,,,,
1112.5,0.044,,,,
1113,0.048,,,,
1113.5,0.049,,,,
1114,0.047,,,,
1114.5,0.044,,,,
1115,0.042,,,,
1115.5,0.036,,,,
1116,0.027,,,,
1116.5,0.022,,,,
1117,0.025,,,,
1117.5,0.028,,,,
1118,0.03,,,,
1118.5,0.033,,,,
1119,0.037,,,,
1119.5,0.038,,,,
1120,0.039,,,,
1120.5,0.035,,,,
1121,0.033,,,,
1121.5,0.032,,,,
1122,0.028,,,,
1122.5,0.032,,,,
1123,0.03,,,,
1123.5,0.03,,,,
1124,0.029,,,,
1124.5,0.028,,,,
1125,0.026,,,,
1125.5,0.021,,,,
1126,0.023,,,,
1126.5,0.025,,,,
1127,0.026,,,,
1127.5,0.026,,,,
1128,0.025,,,,
1128.5,-0.006,,,,
1129,0.006,,,,
1129.5,0,,,,
1130,-0.029,,,,
1130.5,-0.071,,,,
